,,,,,,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
601,Vince Evans,13,CHI,6,140,1977,USC,1974,1976,33,116,272,156,42.6,1893,13,14,4.8,5.1,106.6,7,5.6,16.3,57.4,QB,USC
602,Blake Bell,12,SFO,4,117,2015,Oklahoma,2011,2014,43,150,253,103,59.3,1763,12,6,4.7,2.4,128.7,7,6.85,11.8,41,QB,Oklahoma
603,Bobby Boyd,12,SDG,,,1960,Oklahoma,1957,1959,60,94,220,126,42.7,1306,12,18,5.5,8.2,94.2,5.9,3.35,13.9,21.8,RB,Oklahoma
604,Dale Hackbart,12,RAI,,,1960,Wisconsin,1957,1959,54,196,426,230,46,2782,12,24,2.8,5.6,98.9,6.5,4.56,14.2,51.5,QB,Wisconsin
605,Danny Pierce,12,WAS,5,121,1970,Memphis,1968,1969,20,117,276,159,42.4,1974,12,16,4.3,5.8,105.2,7.2,5.41,16.9,98.7,QB,Memphis
606,John Brodie,12,SFO,1,3,1957,Stanford,1956,1956,10,139,240,101,57.9,1633,12,14,5,5.8,119.9,6.8,5.18,11.7,163.3,QB,Stanford
607,Johnny Evans,12,CLE,2,39,1978,North Carolina State,1974,1977,44,183,397,214,46.1,2509,12,22,3,5.5,98.1,6.3,4.43,13.7,57,QB,North Carolina State
608,Mark Vlasic,12,SDG,4,88,1987,Iowa,1983,1986,45,118,207,89,57,1709,12,4,5.8,1.9,141.6,8.3,8.55,14.5,38,QB,Iowa
609,Ron Vander Kelen,12,NYJ,21,163,1963,Wisconsin,1962,1962,9,91,168,77,54.2,1181,12,7,7.1,4.2,128.5,7,6.58,13,131.2,QB,Wisconsin
610,Rusty Lisch,12,CRD,4,89,1980,Notre Dame,1976,1979,26,175,343,168,51,2616,12,18,3.5,5.2,116.1,7.6,5.97,14.9,100.6,QB,Notre Dame
611,Scott Zolak,12,NWE,4,84,1991,Maryland,1988,1990,23,270,509,239,53,3124,12,23,2.4,4.5,103.3,6.1,4.58,11.6,135.8,QB,Maryland
612,Stephen Starring,12,NWE,3,74,1983,,1980,1981,22,116,267,151,43.4,2124,12,18,4.5,6.7,111.6,8,5.82,18.3,96.5,QB,McNeese State
613,Steve Grogan,12,NWE,5,116,1975,Kansas State,1972,1974,33,166,371,205,44.7,2213,12,26,3.2,7,91.5,6,3.46,13.3,67.1,QB,Kansas State
614,Tim Van Galder,12,CRD,6,88,1966,Iowa State,1964,1966,30,259,578,319,44.8,3417,12,36,2.1,6.2,88.9,5.9,3.52,13.2,113.9,QB,Iowa State
615,Dan Manucci,11,BUF,5,116,1979,Kansas State,1977,1978,22,164,334,170,49.1,2505,11,27,3.3,8.1,106.8,7.5,4.52,15.3,113.9,QB,Kansas State
616,Freddie Summers,11,CLE,4,98,1969,Wake Forest,1967,1968,20,202,409,207,49.4,2573,11,33,2.7,8.1,95,6.3,3.2,12.7,128.7,QB,Wake Forest
