,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
1801,Tyler Ervin,783,HTX,4,119,2016,San Jose State,2011,2015,47,87,783,9,4,16.7,RB,San Jose State
1802,Willie Drewery,783,OTI,11,281,1985,West Virginia,1981,1984,43,46,783,17,5,18.2,WR,West Virginia
1803,Ben Patrick,781,CRD,7,215,2007,,2003,2005,31,79,781,9.9,2,25.2,TE,Duke
1804,Najee Harris,781,PIT,1,24,2021,Alabama,2017,2020,55,80,781,9.8,11,14.2,RB,Alabama
1805,Noah Herron,781,PIT,7,244,2005,Northwestern,2001,2004,45,72,781,10.8,2,17.4,RB,Northwestern
1806,Willie Scott,781,KAN,1,14,1981,South Carolina,1977,1980,45,62,781,12.6,7,17.4,TE,South Carolina
1807,Reuben Gant,779,BUF,1,18,1974,Oklahoma State,1971,1973,33,35,779,22.3,10,23.6,WR,Oklahoma State
1808,Bobby Lane,778,KAN,20,158,1961,Baylor,1960,1961,40,62,778,12.5,8,19.5,WR,Baylor
1809,Cordarrelle Patterson,778,MIN,1,29,2013,Tennessee,2012,2012,12,46,778,16.9,5,64.8,WR,Tennessee
1810,Stepfan Taylor,778,CRD,5,140,2013,Stanford,2009,2012,53,97,778,8,5,14.7,RB,Stanford
1811,Pat Carter,777,DET,2,32,1988,Florida State,1984,1987,44,71,777,10.9,7,17.7,TE,Florida State
1812,Rob Blanchflower,777,PIT,7,230,2014,Massachusetts,2012,2013,15,70,777,11.1,5,51.8,TE,Massachusetts
1813,Cameron Cleeland,776,NOR,2,40,1998,Washington,1995,1997,33,50,776,15.5,6,23.5,TE,Washington
1814,Cyrus Gray,776,KAN,6,182,2012,Texas A&M,2008,2011,49,103,776,7.5,6,15.8,RB,Texas A&M
1815,Jim Kerr,776,NYJ,19,150,1961,Penn State,1958,1960,58,60,776,12.9,8,13.4,RB,Penn State
1816,Jason Snelling,775,ATL,7,244,2007,Virginia,2002,2006,42,84,775,9.2,4,18.5,DL,Virginia
1817,Allen Pinkett,774,OTI,3,61,1986,Notre Dame,1982,1985,43,73,774,10.6,3,18,RB,Notre Dame
1818,Darnell Washington,774,PIT,3,93,2023,Georgia,2020,2022,36,45,774,17.2,3,21.5,TE,Georgia
1819,Chris Calloway,773,PIT,4,97,1990,Michigan,1987,1989,33,52,773,14.9,7,23.4,WR,Michigan
1820,Steve Zabel,773,PHI,1,6,1970,Oklahoma,1967,1969,30,63,773,12.3,8,25.8,TE,Oklahoma
1821,Daniel Bellinger,771,NYG,4,112,2022,San Diego State,2018,2021,43,68,771,11.3,5,17.9,TE,San Diego State
1822,Glen Young,771,PHI,3,62,1983,Mississippi State,1979,1982,44,48,771,16.1,2,17.5,WR,Mississippi State
1823,Jay Ajayi,771,MIA,5,149,2015,Boise State,2012,2014,38,73,771,10.6,5,20.3,RB,Boise State
1824,Jim Gibbons,771,CLE,5,61,1958,Iowa,1956,1957,18,48,771,16.1,7,42.8,WR,Iowa
1825,Keith Jones,771,ATL,3,62,1989,Illinois,1985,1988,44,93,771,8.3,3,17.5,RB,Illinois
1826,Mark Bavaro,771,NYG,4,100,1985,Notre Dame,1983,1984,22,55,771,14,4,35,TE,Notre Dame
1827,Ricky Whittle,771,NOR,4,103,1996,Oregon,1992,1995,40,81,771,9.5,3,19.3,RB,Oregon
1828,Doug Jolley,768,RAI,2,55,2002,BYU,1999,2001,33,52,768,14.8,11,23.3,TE,BYU
1829,Fred Baxter,767,NYJ,5,115,1993,Auburn,1990,1992,27,57,767,13.5,3,28.4,TE,Auburn
1830,Marcus Lattimore,767,SFO,4,131,2013,South Carolina,2010,2012,29,74,767,10.4,3,26.4,RB,South Carolina
1831,Andre Tillman,766,MIA,2,38,1974,Texas Tech,1971,1973,33,54,766,14.2,5,23.2,TE,Texas Tech
1832,Anthony Miller,765,SDG,1,15,1988,Tennessee,1986,1987,23,47,765,16.3,5,33.3,WR,Tennessee
1833,Levine Toilolo,763,ATL,4,133,2013,Stanford,2010,2012,30,50,763,15.3,10,25.4,LB,Stanford
1834,Will Blackmon,763,GNB,4,115,2006,Boston College,2002,2005,48,51,763,15,4,15.9,DB,Boston College
1835,Aaron Thomas,762,KAN,16,126,1961,Oregon State,1958,1960,60,50,762,15.2,4,12.7,WR,Oregon State
