,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
1801,Phil Nugent,558,DEN,9,65,1961,Tulane,1958,1960,60,372,558,1.5,2,9.3,QB,Tulane
1802,Ron Francis,558,DAL,2,39,1987,Baylor,1984,1986,33,127,558,4.4,5,16.9,RB,Baylor
1803,Bobby Jackson,555,GNB,7,73,1959,Alabama,1957,1958,20,174,555,3.2,7,27.8,QB,Alabama
1804,Ken Johnson,555,NYG,11,284,1979,Miami (FL),1976,1978,33,150,555,3.7,5,16.8,RB,Miami (FL)
1805,Jack Gehrke,554,KAN,10,265,1968,Utah,1965,1967,31,247,554,2.2,4,17.9,QB,Utah
1806,Jeff Paulk,554,ATL,3,92,1999,Arizona State,1995,1998,43,122,554,4.5,6,12.9,RB,Arizona State
1807,Bud Whitehead,552,SDG,16,128,1961,Florida State,1958,1960,30,149,552,3.7,4,18.4,RB,Florida State
1808,Aaron Brooks,547,GNB,4,131,1999,Virginia,1995,1998,34,199,547,2.7,14,16.1,QB,Virginia
1809,Colt Brennan,547,WAS,6,186,2008,Hawaii,2005,2007,38,267,547,2,15,14.4,QB,Hawaii
1810,Jeff Rutledge,546,RAM,9,246,1979,Alabama,1975,1978,44,294,546,1.9,11,12.4,QB,Alabama
1811,Jesse Anderson,545,TAM,4,87,1990,Mississippi State,1987,1989,33,125,545,4.4,3,16.5,TE,Mississippi State
1812,Mike Kirkland,545,CLT,5,143,1976,Arkansas,1973,1975,33,238,545,2.3,5,16.5,QB,Arkansas
1813,Steve Harkey,543,NYJ,16,396,1971,Georgia Tech,1968,1970,31,155,543,3.5,2,17.5,RB,Georgia Tech
1814,Dexter McNabb,542,GNB,5,119,1992,Florida,1988,1991,39,111,542,4.9,5,13.9,RB,Florida
1815,Jimmy Williams,542,BUF,6,196,2001,Vanderbilt,1997,2000,42,102,542,5.3,2,12.9,RB,Vanderbilt
1816,Richie James,542,SFO,7,240,2018,Middle Tennessee State,2015,2017,31,60,542,9,5,17.5,WR,Middle Tennessee State
1817,Stan Davis,541,PHI,13,315,1973,Memphis,1969,1972,31,92,541,5.9,2,17.5,RB,Memphis
1818,Keshawn Martin,540,HTX,4,121,2012,Michigan State,2008,2011,48,64,540,8.4,3,11.3,WR,Michigan State
1819,King Hill,539,CRD,1,1,1958,Rice,1956,1957,20,142,539,3.8,8,27,QB,Rice
1820,Jim Johnson,538,SDG,4,32,1961,UCLA,1959,1960,40,72,538,7.5,2,13.5,RB,UCLA
1821,Pete Johns,538,OTI,5,111,1967,Tulane,1964,1966,20,128,538,4.2,1,26.9,RB,Tulane
1822,Trey Millard,538,SFO,7,245,2014,Oklahoma,2010,2013,48,98,538,5.5,6,11.2,RB,Oklahoma
1823,Alex McGough,535,SEA,7,220,2018,Florida International,2014,2017,46,308,535,1.7,16,11.6,QB,Florida International
1824,Kellen Clemens,535,NYJ,2,49,2006,Oregon,2002,2005,37,273,535,2,6,14.5,QB,Oregon
1825,Warren Seitz,535,PIT,10,260,1986,Missouri,1983,1985,31,178,535,3,9,17.3,QB,Missouri
1826,Cardale Jones,533,BUF,4,139,2016,Ohio State,2013,2015,23,141,533,3.8,4,23.2,QB,Ohio State
1827,Antonio Brown,531,PIT,6,195,2010,Central Michigan,2007,2009,41,72,531,7.4,4,13,WR,Central Michigan
1828,John Nocera,531,PHI,16,182,1957,Iowa,1956,1958,27,111,531,4.8,7,19.7,RB,Iowa
1829,Danny Pierce,530,WAS,5,121,1970,Memphis,1968,1969,20,212,530,2.5,13,26.5,QB,Memphis
1830,Ovie Mughelli,530,RAV,4,134,2003,Wake Forest,1999,2002,43,137,530,3.9,13,12.3,RB,Wake Forest
1831,Stetson Bennett,530,RAM,4,128,2023,Georgia,2019,2022,42,141,530,3.8,14,12.6,QB,Georgia
1832,Raymond Clayborn,529,NWE,1,16,1977,Texas,1973,1976,30,83,529,6.4,8,17.6,RB,Texas
1833,Mark Rypien,528,WAS,6,146,1986,Washington State,1981,1985,30,195,528,2.7,10,17.6,QB,Washington State
1834,Mike Livingston,527,KAN,2,48,1968,SMU,1965,1967,30,216,527,2.4,2,17.6,QB,SMU
1835,Dwayne Harris,526,DAL,6,176,2011,East Carolina,2007,2010,50,86,526,6.1,6,10.5,WR,East Carolina
1836,Paul Krause,526,DEN,12,89,1964,Iowa,1961,1963,52,98,526,5.4,2,10.1,RB,Iowa
1837,Nathan Peterman,525,BUF,5,171,2017,Pitt,2013,2016,36,172,525,3.1,5,14.6,QB,"Pitt,Tennessee"
1838,Jack Laraway,523,DET,10,112,1959,Purdue,1957,1959,27,125,523,4.2,4,19.4,RB,Purdue
1839,Danny White,521,DAL,3,53,1974,Arizona State,1971,1973,33,164,521,3.2,14,15.8,QB,Arizona State
1840,Dick LeBeau,521,CLE,5,58,1959,Ohio State,1956,1958,27,139,521,3.7,8,19.3,RB,Ohio State
1841,Dave Lewis,520,NYG,5,109,1967,Stanford,1964,1966,30,233,520,2.2,4,17.3,QB,Stanford
1842,Tyler Boyd,520,CIN,2,55,2016,Pitt,2013,2015,38,63,520,8.3,1,13.7,WR,Pitt
1843,Dennit Morris,518,SFO,18,215,1958,Oklahoma,1956,1957,20,105,518,4.9,0,25.9,RB,Oklahoma
1844,John Mackey,518,NYJ,5,35,1963,Syracuse,1960,1962,58,116,518,4.5,4,8.9,RB,Syracuse
1845,Manfred Moore,517,SFO,9,216,1974,USC,1971,1973,33,103,517,5,2,15.7,RB,USC
1846,Doug Beaudoin,513,NWE,9,243,1976,Minnesota,1972,1972,11,105,513,4.9,4,46.6,RB,Minnesota
1847,Pharoh Cooper,513,RAM,4,117,2016,South Carolina,2013,2015,34,71,513,7.2,4,15.1,CB,South Carolina
1848,Brian Milne,512,CLT,4,115,1996,Penn State,1993,1995,33,114,512,4.5,16,15.5,RB,Penn State
1849,Gary Marangi,512,BUF,3,70,1974,Boston College,1971,1973,33,156,512,3.3,5,15.5,QB,Boston College
1850,Bob Zeman,511,SDG,,,1960,Wisconsin,1957,1959,27,124,511,4.1,5,18.9,RB,Wisconsin
1851,Joe Scarpati,511,NWE,13,100,1964,North Carolina State,1961,1963,30,154,511,3.3,5,17,RB,North Carolina State
1852,Stanley Havili,509,PHI,7,240,2011,USC,2006,2010,52,81,509,6.3,3,9.8,RB,USC
1853,Jameel Cook,508,TAM,6,174,2001,Illinois,1998,2000,31,112,508,4.5,0,16.4,RB,Illinois
1854,Matt Cavanaugh,508,NWE,2,50,1978,Pitt,1975,1977,31,219,508,2.3,10,16.4,QB,Pitt
1855,Trent Green,508,SDG,8,222,1993,Indiana,1989,1992,43,278,508,1.8,15,11.8,QB,Indiana
1856,Bernie Parrish,507,CLE,9,108,1958,Florida,1956,1957,19,97,507,5.2,5,26.7,RB,Florida
1857,Pat Haden,507,RAM,7,176,1975,USC,1972,1974,33,192,507,2.6,8,15.4,QB,USC
1858,Gary Campbell,506,PIT,10,291,1976,Colorado,1972,1975,33,97,506,5.2,2,15.3,RB,Colorado
1859,Shawn Bryson,505,BUF,3,86,1999,Tennessee,1995,1998,45,91,505,5.5,8,11.2,RB,Tennessee
1860,Don Jonas,504,NYJ,32,253,1962,Penn State,1958,1961,29,100,504,5,3,17.4,RB,Penn State
1861,Dave D'Addio,498,DET,4,106,1984,Maryland,1979,1983,26,108,498,4.6,8,19.2,RB,Maryland
1862,T.Y. Hilton,498,CLT,3,92,2012,Florida International,2008,2011,50,69,498,7.2,7,10,WR,Florida International
1863,Richard Bell,497,PIT,12,319,1990,Nebraska,1987,1989,34,51,497,9.7,1,14.6,RB,Nebraska
1864,Joe Reed,495,SFO,11,283,1971,Mississippi State,1967,1970,28,251,495,2,7,17.7,QB,"Baylor,Mississippi State"
1865,Tebucky Jones,495,NWE,1,22,1998,Syracuse,1994,1997,39,127,495,3.9,8,12.7,RB,Syracuse
1866,Jacoby Ford,494,RAI,4,108,2010,Clemson,2006,2009,48,58,494,8.5,2,10.3,WR,Clemson
1867,Bob Ptacek,493,CLE,8,87,1959,Michigan,1956,1958,27,197,493,2.5,5,18.3,QB,Michigan
1868,Carl Charon,492,WAS,18,239,1962,Michigan State,1959,1961,27,96,492,5.1,5,18.2,RB,Michigan State
1869,Marcus Green,492,ATL,6,203,2019,Louisiana-Monroe,2015,2018,48,51,492,9.6,1,10.3,WR,Louisiana-Monroe
1870,Marshall Harris,492,NYJ,8,198,1979,Texas Christian,1957,1959,30,130,492,3.8,2,16.4,RB,Texas Christian
1871,Oliver Luck,492,OTI,2,44,1982,West Virginia,1978,1981,45,358,492,1.4,11,10.9,QB,West Virginia
1872,Paul Dudley,491,SDG,29,232,1962,Arkansas,1958,1961,30,120,491,4.1,3,16.4,RB,Arkansas
1873,Kevin Smith,490,RAI,7,185,1992,UCLA,1989,1991,33,127,490,3.9,5,14.8,RB,UCLA
1874,Mike Weger,488,DET,9,218,1967,Bowling Green,1964,1966,28,98,488,5,2,17.4,DB,Bowling Green
1875,Curtis Marsh,487,PHI,3,90,2011,Utah State,2007,2010,46,124,487,3.9,4,10.6,RB,Utah State
1876,Doug Hogue,483,DET,5,157,2011,Syracuse,2007,2010,45,112,483,4.3,3,10.7,RB,Syracuse
1877,George Layne,482,KAN,4,108,2001,Texas Christian,1998,2000,31,97,482,5,8,15.5,RB,Texas Christian
1878,Phil Freeman,482,TAM,8,204,1985,Arizona,1982,1984,29,137,482,3.5,4,16.6,RB,Arizona
1879,Don Lisbon,481,SFO,3,36,1963,Bowling Green,1962,1962,9,94,481,5.1,9,53.4,RB,Bowling Green
1880,Harvey White,481,NWE,,,1960,Clemson,1957,1959,30,182,481,2.6,7,16,QB,Clemson
1881,Richmond Flowers,481,DAL,2,49,1969,Tennessee,1966,1968,28,140,481,3.4,7,17.2,WR,Tennessee
1882,Zack Crockett,481,CLT,3,79,1995,Florida State,1992,1994,19,111,481,4.3,12,25.3,RB,Florida State
1883,Cade McNown,479,CHI,1,12,1999,UCLA,1995,1998,44,276,479,1.7,15,10.9,QB,UCLA
1884,Bryce Brown,476,PHI,7,229,2012,Kansas State,2009,2011,14,104,476,4.6,3,34,RB,"Kansas State,Tennessee"
1885,Archie Roberts,475,NYJ,7,51,1965,Columbia,1962,1964,27,352,475,1.3,16,17.6,QB,Columbia
1886,Darryl Stingley,474,NWE,1,19,1973,Purdue,1970,1972,31,112,474,4.2,4,15.3,WR,Purdue
1887,Jeff Blake,474,NYJ,6,166,1992,East Carolina,1988,1991,36,212,474,2.2,8,13.2,QB,East Carolina
1888,Bill Nelsen,470,PIT,10,136,1963,USC,1960,1962,30,241,470,2,6,15.7,QB,USC
1889,Gene Washington,469,SFO,1,16,1969,Stanford,1966,1968,30,151,469,3.1,4,15.6,QB,Stanford
1890,Vince Evans,469,CHI,6,140,1977,USC,1974,1976,33,203,469,2.3,11,14.2,QB,USC
1891,Brady Keys,468,PIT,14,162,1960,Colorado State,1959,1960,20,116,468,4,1,23.4,RB,Colorado State
1892,Kyle Johnson,466,CAR,5,145,2002,Syracuse,1997,2001,42,101,466,4.6,8,11.1,RB,Syracuse
1893,Larry Todd,466,SFO,4,44,1965,Arizona State,1962,1964,20,90,466,5.2,3,23.3,RB,Arizona State
1894,Duriel Harris,463,MIA,3,80,1976,New Mexico State,1972,1975,44,82,463,5.6,0,10.5,RB,New Mexico State
1895,Jack Pardee,463,RAM,2,14,1957,Texas A&M,1956,1956,10,103,463,4.5,4,46.3,RB,Texas A&M
1896,Mike Phipps,460,CLE,1,3,1970,Purdue,1967,1969,28,240,460,1.9,9,16.4,QB,Purdue
1897,Jerry Overton,459,DAL,15,202,1963,Utah,1960,1962,30,93,459,4.9,2,15.3,RB,Utah
1898,Blaine Gabbert,458,JAX,1,10,2011,Missouri,2008,2010,31,221,458,2.1,8,14.8,QB,Missouri
1899,George Rose,458,BUF,3,21,1964,Auburn,1961,1963,60,140,458,3.3,2,7.6,RB,Auburn
1900,Bob Berry,456,DEN,26,201,1964,Oregon,1962,1964,60,486,456,0.9,20,7.6,QB,Oregon
1901,Shaq Thompson,456,CAR,1,25,2015,Washington,2012,2014,39,61,456,7.5,2,11.7,DB,Washington
1902,Mike Wells,454,MIN,4,80,1973,Illinois,1970,1972,32,241,454,1.9,10,14.2,QB,Illinois
1903,Ross Fichtner,454,BUF,,,1960,Purdue,1957,1959,54,210,454,2.2,0,8.4,QB,Purdue
1904,Charlie Evans,451,NYG,14,356,1971,USC,1969,1970,21,111,451,4.1,3,21.5,RB,USC
1905,Clyde Washington,449,CLE,10,116,1960,Purdue,1957,1959,27,117,449,3.8,0,16.6,RB,Purdue
1906,Del Shofner,449,RAM,1,11,1957,Baylor,1956,1956,10,70,449,6.4,6,44.9,RB,Baylor
1907,Steve Joachim,449,CLT,7,160,1975,Temple,1971,1974,31,203,449,2.2,19,14.5,QB,"Penn State,Temple"
1908,Dick Shiner,448,NYJ,20,155,1964,Maryland,1961,1963,60,508,448,0.9,22,7.5,QB,Maryland
1909,Bob Burns,447,NYJ,9,214,1974,Georgia,1971,1973,33,102,447,4.4,1,13.5,WR,Georgia
1910,Troy Edwards,447,PIT,1,13,1999,Louisiana Tech,1996,1998,34,38,447,11.8,6,13.1,WR,Louisiana Tech
1911,Hal Wantland,446,WAS,16,235,1966,Tennessee,1963,1965,30,180,446,2.5,7,14.9,QB,Tennessee
1912,Rod Bernstine,443,SDG,1,24,1987,Texas A&M,1983,1986,42,120,443,3.7,0,10.5,RB,Texas A&M
1913,Billy Atkins,442,SFO,5,59,1958,Auburn,1956,1957,20,106,442,4.2,12,22.1,RB,Auburn
1914,Steve Spurrier,442,SFO,1,3,1967,Florida,1964,1966,30,303,442,1.5,3,14.7,QB,Florida
1915,Tim Brown,442,RAI,1,6,1988,Notre Dame,1984,1987,43,98,442,4.5,4,10.3,WR,Notre Dame
1916,Jon Witman,441,PIT,3,92,1996,Penn State,1993,1995,22,98,441,4.5,9,20,RB,Penn State
1917,Bob Naponic,440,OTI,10,256,1969,Illinois,1966,1968,30,312,440,1.4,6,14.7,QB,Illinois
1918,Jeff Campbell,439,DET,5,118,1990,Colorado,1986,1989,43,23,439,19.1,6,10.2,WR,Colorado
