,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
1001,Rod Elkins,25,1979,1982,44,204,394,190,51.8,2707,25,21,6.3,5.3,119.8,6.9,5.74,13.3,61.5,QB,North Carolina
1002,Ron Adams,25,1984,1987,35,357,643,286,55.5,4657,25,26,3.9,4,121.1,7.2,6.2,13,133.1,QB,Eastern Michigan
1003,Scooter Molander,25,1987,1988,23,412,754,342,54.6,5400,25,40,3.3,5.3,115.1,7.2,5.44,13.1,234.8,QB,Colorado State
1004,Sean Salisbury,25,1981,1985,46,341,594,253,57.4,4402,25,18,4.2,3,127.5,7.4,6.89,12.9,95.7,QB,USC
1005,Shea Morenz,25,1992,1994,21,312,579,267,53.9,3774,25,24,4.3,4.1,114.6,6.5,5.52,12.1,179.7,QB,Texas
1006,Steve Goepel,25,1968,1970,30,258,547,289,47.2,3336,25,34,4.6,6.2,101,6.1,4.22,12.9,111.2,QB,Colgate
1007,Steve Haynes,25,1975,1976,20,186,320,134,58.1,3047,25,17,7.8,5.3,153.3,9.5,8.69,16.4,152.4,QB,Louisiana Tech
1008,Terry Morris,25,1985,1986,22,314,510,196,61.6,3836,25,21,4.9,4.1,132.7,7.5,6.65,12.2,174.4,QB,Miami (OH)
1009,Thomas Castellanos,25,2022,2024,22,243,416,173,58.4,3052,25,16,6,3.8,132.2,7.3,6.81,12.6,138.7,QB,"Boston College,UCF"
1010,Todd Goebbel,25,1995,1997,23,304,603,299,50.4,3747,25,25,4.1,4.1,108,6.2,5.18,12.3,162.9,QB,Kent State
1011,Todd Schultz,25,1994,1997,25,338,548,210,61.7,3985,25,28,4.6,5.1,127.6,7.3,5.89,11.8,159.4,QB,Michigan State
1012,Tony Dungy,25,1973,1976,44,274,586,312,46.8,3515,25,35,4.3,6,99.3,6,4.16,12.8,79.9,QB,Minnesota
1013,Tony Shell,25,1988,1990,33,349,715,366,48.8,4292,25,29,3.5,4.1,102.7,6,4.88,12.3,130.1,QB,Mississippi State
1014,Ty Storey,25,2016,2019,26,385,599,214,64.3,4154,25,17,4.2,2.8,130.6,6.9,6.49,10.8,159.8,QB,"Arkansas,Western Kentucky"
