,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
3801,Chad Beebe,930,2013,2017,37,64,930,14.5,3,25.1,WR,Northern Illinois
3802,Chris Juergens,930,1998,1999,21,69,930,13.5,6,44.3,WR,Washington
3803,Kyle Hicks,930,2014,2017,51,102,930,9.1,4,18.2,RB,Texas Christian
3804,Sam Choice,930,1979,1980,22,62,930,15,4,42.3,WR,Lamar
3805,Bo Rein,929,1964,1966,24,77,929,12.1,4,38.7,RB,Ohio State
3806,Chuck Albertson,929,1964,1966,30,77,929,12.1,4,31,RB,William & Mary
3807,Curtis Baham,929,2003,2005,35,70,929,13.3,7,26.5,WR,Clemson
3808,Kendall Sanders,929,2012,2016,35,77,929,12.1,8,26.5,WR,"Arkansas State,Texas"
3809,Larry Hart,929,1968,1970,31,48,929,19.4,11,30,WR,Louisville
3810,Ty Slanina,929,2013,2017,48,89,929,10.4,3,19.4,WR,Texas Christian
3811,Victor Wood,929,1985,1988,39,66,929,14.1,5,23.8,WR,Washington State
3812,Blake Watson,928,2018,2023,49,113,928,8.2,6,18.9,WR,"Memphis,Old Dominion"
3813,Dan Murray,928,2003,2006,44,70,928,13.3,10,21.1,TE,Connecticut
3814,Deddrick Thomas,928,2016,2019,48,76,928,12.2,9,19.3,WR,Mississippi State
3815,DJ Turner,928,2016,2020,42,68,928,13.6,4,22.1,WR,"Maryland,Pitt"
3816,Greg Washington,928,1988,1988,11,69,928,13.4,9,84.4,WR,Kansas State
3817,Larry McCartney,928,1975,1977,32,47,928,19.7,5,29,TE,Louisiana Tech
3818,Levon Thomas,928,2001,2004,42,66,928,14.1,6,22.1,WR,Georgia Tech
3819,Marcus Edwards,928,2005,2008,51,73,928,12.7,3,18.2,WR,South Florida
3820,Witt Beckman,928,1971,1974,33,56,928,16.6,6,28.1,WR,Miami (FL)
3821,Aris Comeaux,927,2000,2002,31,72,927,12.9,9,29.9,WR,Army
3822,Gavin Holmes,927,2017,2022,31,72,927,12.9,7,29.9,WR,Baylor
3823,Isaiah Washington,927,2019,2023,58,74,927,12.5,3,16,WR,Rutgers
