,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
601,Kevin Galbreath,2417,2001,2002,24,536,2417,4.5,13,100.7,RB,North Texas
602,Chad Nelson,2415,1994,1997,44,466,2415,5.2,24,54.9,QB,Rice
603,Darryl Harris,2415,1984,1987,42,535,2415,4.5,22,57.5,RB,Arizona State
604,Justin Thomas,2412,2013,2016,48,505,2412,4.8,22,50.3,QB,Georgia Tech
605,Morgan Williams,2412,2008,2011,48,458,2412,5.3,19,50.3,RB,Toledo
606,Davin Meggett,2411,2008,2011,50,485,2411,5,18,48.2,RB,Maryland
607,Joe Abdullah,2409,1994,1995,22,513,2409,4.7,18,109.5,RB,Pacific
608,Phil Carter,2409,1979,1982,37,557,2409,4.3,14,65.1,RB,Notre Dame
609,Joel Thomas,2408,1996,1998,23,459,2408,5.2,30,104.7,RB,Idaho
610,Jim Kruis,2404,1975,1977,33,551,2404,4.4,15,72.8,RB,William & Mary
611,Billy Deery,2401,1972,1974,33,453,2401,5.3,19,72.8,QB,William & Mary
612,Jerry Seymour,2401,2003,2004,20,467,2401,5.1,13,120.1,RB,Central Michigan
613,Kyle Monangai,2400,2020,2024,44,485,2400,4.9,19,54.5,RB,Rutgers
614,Terry Carter,2400,1990,1994,55,571,2400,4.2,9,43.6,RB,Miami (OH)
615,Bryson Sumlin,2398,2002,2005,47,496,2398,4.8,29,51,RB,Fresno State
616,Keola Antolin,2398,2008,2011,50,500,2398,4.8,26,48,RB,Arizona
617,Mark Hunter,2396,1976,1979,44,526,2396,4.6,24,54.5,RB,Miami (OH)
618,B.J. Mitchell,2395,2002,2005,42,481,2395,5,25,57,RB,Nevada
619,Jehuu Caulcrick,2395,2004,2007,46,532,2395,4.5,39,52.1,RB,Michigan State
620,Reggie Mitchell,2394,1978,1981,44,473,2394,5.1,14,54.4,RB,Central Michigan
621,Alex Gillett,2393,2009,2012,45,506,2393,4.7,14,53.2,QB,Eastern Michigan
622,Dillon Johnson,2393,2020,2023,49,462,2393,5.2,27,48.8,RB,"Mississippi State,Washington"
623,Jalen White,2393,2020,2024,50,448,2393,5.3,28,47.9,RB,Georgia Southern
624,Jarveon Williams,2393,2013,2016,43,474,2393,5,19,55.7,RB,UTSA
625,Marlon Lucky,2393,2005,2008,50,515,2393,4.6,22,47.9,RB,Nebraska
626,Ronnie McGill,2393,2003,2006,38,529,2393,4.5,24,63,RB,North Carolina
627,Pete Van Valkenburg,2392,1970,1972,33,456,2392,5.2,24,72.5,RB,BYU
628,James Allen,2387,1993,1996,43,539,2387,4.4,7,55.5,RB,Oklahoma
629,Roger Grant,2387,1990,1991,22,484,2387,4.9,12,108.5,RB,Utah State
630,Ernie Davis,2386,1959,1961,29,360,2386,6.6,20,82.3,RB,Syracuse
631,Larry Jones,2386,1977,1980,39,526,2386,4.5,11,61.2,RB,Colorado State
632,Steve Morgan,2386,1981,1984,44,607,2386,3.9,16,54.2,RB,Toledo
633,Brandon Hayes,2385,2012,2014,33,515,2385,4.6,16,72.3,RB,Memphis
634,Philip Reed,2384,2000,2003,36,541,2384,4.4,21,66.2,RB,Western Michigan
635,Graig Cooper,2383,2007,2010,46,465,2383,5.1,13,51.8,RB,Miami (FL)
636,Rich Alexis,2383,2000,2003,41,583,2383,4.1,28,58.1,RB,Washington
637,Pooka Williams,2382,2018,2020,26,415,2382,5.7,12,91.6,RB,Kansas
638,Andrew Clair,2380,2017,2022,53,443,2380,5.4,15,44.9,RB,"Bowling Green,Northwestern"
639,Gerard Arnold,2378,1997,1999,28,499,2378,4.8,17,84.9,RB,Memphis
640,John Ogden,2376,1964,1966,30,535,2376,4.4,11,79.2,RB,BYU
641,Greg Ward Jr.,2375,2013,2016,49,558,2375,4.3,39,48.5,QB,Houston
642,Jim Upchurch,2375,1972,1974,33,488,2375,4.9,16,72,RB,Arizona
643,Devon Johnson,2373,2012,2015,44,305,2373,7.8,25,53.9,LB,Marshall
644,Bill Fenn,2372,1978,1980,33,632,2372,3.8,15,71.9,RB,Illinois State
645,Cody Schrader,2372,2022,2023,26,446,2372,5.3,23,91.2,RB,Missouri
646,Ricky Powers,2371,1990,1993,41,492,2371,4.8,18,57.8,RB,Michigan
647,Don Jackson,2370,2013,2015,35,529,2370,4.5,19,67.7,RB,Nevada
648,Darnell Woolfolk,2368,2015,2018,41,487,2368,4.9,37,57.8,RB,Army
649,Luke Clemens,2367,2000,2004,49,561,2367,4.2,29,48.3,RB,Miami (OH)
650,Brandon Radcliff,2365,2013,2016,47,438,2365,5.4,26,50.3,RB,Louisville
651,C.J. Williams,2365,1994,1996,32,539,2365,4.4,20,73.9,RB,Georgia Tech
652,Curt Watson,2364,1969,1971,32,529,2364,4.5,22,73.9,RB,Tennessee
653,Mike D. Carter,2364,1978,1982,47,466,2364,5.1,16,50.3,RB,New Mexico
654,Deon Booker,2363,1985,1988,44,497,2363,4.8,18,53.7,RB,Louisville
655,Wayne Pittman,2363,1991,1994,46,551,2363,4.3,17,51.4,RB,San Diego State
656,Bronson Hill,2362,2011,2014,42,421,2362,5.6,11,56.2,RB,Eastern Michigan
657,Reggie Corbin,2361,2016,2019,44,375,2361,6.3,18,53.7,RB,Illinois
658,Adonis Thomas,2360,2008,2011,41,382,2360,6.2,21,57.6,RB,Toledo
659,Ayo Adeyi,2360,2021,2024,36,359,2360,6.6,17,65.6,RB,"James Madison,North Texas"
660,Wendell Mathis,2358,2002,2005,33,412,2358,5.7,27,71.5,RB,"Fresno State,UCLA"
661,Amero Ware,2357,1979,1981,33,491,2357,4.8,13,71.4,RB,Drake
662,Bryant Jones,2357,1980,1982,33,571,2357,4.1,15,71.4,RB,Bowling Green
663,Damien Martinez,2357,2022,2024,29,395,2357,6,20,81.3,RB,"Miami (FL),Oregon State"
664,D.J. Foster,2355,2012,2015,53,444,2355,5.3,18,44.4,RB,Arizona State
665,Javian Hawkins,2355,2018,2020,24,399,2355,5.9,16,98.1,RB,Louisville
666,Leon Allen,2353,2012,2015,37,427,2353,5.5,22,63.6,RB,Western Kentucky
667,Steve Worster,2353,1968,1970,29,457,2353,5.1,36,81.1,RB,Texas
668,Jordan Mason,2349,2018,2021,43,449,2349,5.2,17,54.6,RB,Georgia Tech
669,Andre Herrera,2346,1974,1976,33,447,2346,5.2,21,71.1,RB,Southern Illinois
670,Garry White,2345,1977,1980,44,442,2345,5.3,16,53.3,RB,Minnesota
671,Jaydn Ott,2345,2022,2024,27,456,2345,5.1,22,86.9,RB,California
672,Vic Anderson,2345,2008,2011,42,450,2345,5.2,16,55.8,RB,Louisville
673,Russell Hansbrough,2344,2012,2015,48,467,2344,5,15,48.8,HB,Missouri
674,Chris Hardy,2341,1983,1986,47,447,2341,5.2,21,49.8,RB,San Diego State
675,Corey Walker,2340,1993,1996,33,549,2340,4.3,20,70.9,RB,Arkansas State
676,Joseph Doss,2339,2004,2007,47,537,2339,4.4,14,49.8,RB,Memphis
677,Stefphon Jefferson,2338,2010,2012,33,448,2338,5.2,30,70.8,RB,Nevada
678,Austin Jones,2337,2019,2023,56,498,2337,4.7,24,41.7,RB,"Stanford,USC"
679,Darrin Reaves,2337,2011,2013,33,495,2337,4.7,27,70.8,RB,UAB
680,Jeremiah Johnson,2336,2005,2008,40,349,2336,6.7,30,58.4,RB,Oregon
681,Charlie Jarvis,2334,1966,1968,30,441,2334,5.3,22,77.8,RB,Army
682,Kejuan Jones,2331,2002,2005,51,605,2331,3.9,36,45.7,RB,Oklahoma
683,Nathan Johnson,2330,1977,1980,44,498,2330,4.7,18,53,RB,Louisiana-Monroe
684,Tra Carson,2329,2011,2015,46,473,2329,4.9,20,50.6,RB,"Oregon,Texas A&M"
685,Vaughn Hebron,2327,1989,1992,36,481,2327,4.8,12,64.6,RB,Virginia Tech
686,Lydell Ross,2326,2001,2004,47,595,2326,3.9,26,49.5,RB,Ohio State
687,Bobby Ray Tell,2325,1996,1999,43,403,2325,5.8,20,54.1,RB,Louisiana Tech
688,Chance Harridge,2324,2001,2003,30,462,2324,5,35,77.5,QB,Air Force
689,Dou Innocent,2322,1991,1995,41,494,2322,4.7,11,56.6,RB,Ole Miss
690,Oscar Malone,2320,1992,1996,39,471,2320,4.9,14,59.5,RB,Arkansas
691,Yonus Davis,2319,2003,2008,44,425,2319,5.5,15,52.7,RB,San Jose State
692,Charles Scott,2317,2006,2009,43,424,2317,5.5,32,53.9,RB,LSU
693,Tory Crawford,2313,1984,1987,44,514,2313,4.5,35,52.6,QB,Army
694,Mike Luttrell,2312,1972,1974,33,547,2312,4.2,9,70.1,RB,Texas Christian
695,Kenyon Cotton,2311,1993,1996,44,559,2311,4.1,25,52.5,RB,Louisiana
696,Shun White,2311,2005,2008,42,261,2311,8.9,20,55,RB,Navy
697,Travis Sims,2311,1989,1992,43,367,2311,6.3,14,53.7,RB,Hawaii
698,LeRoy Smith,2310,1989,1992,43,668,2310,3.5,23,53.7,RB,Bowling Green
699,Stephen Houston,2304,2011,2013,36,424,2304,5.4,25,64,RB,Indiana
700,Samson Evans,2302,2020,2023,40,515,2302,4.5,41,57.6,RB,Eastern Michigan
701,Marcus Carroll,2300,2020,2024,44,486,2300,4.7,24,52.3,RB,"Georgia State,Missouri"
702,Mike Pringle,2298,1986,1989,28,428,2298,5.4,20,82.1,RB,"Cal State Fullerton,Washington State"
703,Ollie Gordon,2298,2022,2024,31,420,2298,5.5,27,74.1,RB,Oklahoma State
704,Jeff Scott,2297,2010,2014,42,446,2297,5.2,17,54.7,RB,Ole Miss
705,Jim Grisham,2297,1962,1964,30,446,2297,5.2,19,76.6,RB,Oklahoma
706,Paris Gaines,2296,1998,2001,47,499,2296,4.6,13,48.9,RB,Fresno State
707,Anthony Evans,2295,2002,2005,42,492,2295,4.7,18,54.6,RB,Houston
708,Randy Kinder,2295,1993,1996,40,404,2295,5.7,18,57.4,RB,Notre Dame
709,Chris Swain,2290,2012,2015,41,437,2290,5.2,19,55.9,FB,Navy
710,Fitzgerald Toussaint,2290,2010,2013,40,510,2290,4.5,28,57.3,RB,Michigan
711,Kyle Bell,2290,2004,2008,42,543,2290,4.2,15,54.5,RB,Colorado State
712,Shannon Brooks,2290,2015,2019,38,431,2290,5.3,20,60.3,RB,Minnesota
713,Levi Jackson,2287,1973,1976,43,474,2287,4.8,10,53.2,RB,Michigan State
714,Bryant Mitchell,2286,1966,1968,28,495,2286,4.6,21,81.6,RB,Rutgers
715,Zonovan Knight,2286,2019,2021,36,419,2286,5.5,18,63.5,RB,North Carolina State
716,Khalil Tate,2285,2016,2019,40,366,2285,6.2,18,57.1,QB,Arizona
717,Brian Bream,2284,1969,1971,31,572,2284,4,24,73.7,RB,Air Force
718,Jamaican Dartez,2284,1995,1998,37,495,2284,4.6,25,61.7,RB,Tulane
719,Pat Evans,2284,1984,1986,34,469,2284,4.9,14,67.2,RB,Air Force
720,Garrett Shrader,2281,2019,2023,49,549,2281,4.2,37,46.6,QB,"Mississippi State,Syracuse"
721,John Bond,2280,1980,1983,44,572,2280,4,24,51.8,QB,Mississippi State
722,Dan Burks,2277,2002,2006,43,486,2277,4.7,10,53,RB,UAB
723,Michael Wallace,2275,1998,2000,31,404,2275,5.6,23,73.4,RB,Army
724,Ken Lacy,2272,1979,1982,44,450,2272,5,20,51.6,RB,Tulsa
725,Ed Shuttlesworth,2271,1971,1973,33,519,2271,4.4,26,68.8,RB,Michigan
726,Albert Smith,2269,1982,1985,43,542,2269,4.2,23,52.8,RB,Rutgers
727,Blaise Bryant,2269,1989,1990,20,486,2269,4.7,31,113.5,RB,Iowa State
728,Deon Jackson,2267,2017,2020,48,526,2267,4.3,18,47.2,RB,Duke
729,Tre Siggers,2267,2018,2022,41,444,2267,5.1,20,55.3,RB,"North Texas,SMU"
730,Mike Lawrence,2265,1994,1997,44,491,2265,4.6,19,51.5,RB,Kansas State
731,Tucker Gregg,2265,2018,2022,57,482,2265,4.7,28,39.7,RB,Georgia State
732,Tony Kennedy,2259,1989,1992,44,535,2259,4.2,21,51.3,RB,Virginia Tech
733,Joe Schwartz,2257,1970,1972,33,531,2257,4.3,32,68.4,RB,Toledo
734,Bernard Jackson,2256,1978,1980,33,429,2256,5.3,11,68.4,RB,North Texas
735,Peny Boone,2256,2020,2024,43,391,2256,5.8,22,52.5,RB,"Maryland,Toledo,UCF"
736,Reynard Rutherford,2256,1992,1995,45,491,2256,4.6,13,50.1,RB,California
737,Robert Martin,2256,2014,2017,46,448,2256,5,18,49,RB,Rutgers
738,Antone Smith,2255,2005,2008,45,493,2255,4.6,26,50.1,RB,Florida State
739,Brandon Burks,2253,2012,2015,45,430,2253,5.2,12,50.1,WR,Troy
740,Damarea Crockett,2252,2016,2018,30,380,2252,5.9,19,75.1,RB,Missouri
741,David Sims,2252,2010,2013,42,438,2252,5.1,23,53.6,QB,Georgia Tech
742,Devine Redding,2252,2014,2016,36,508,2252,4.4,17,62.6,RB,Indiana
743,Leonice Brown,2252,1991,1994,42,427,2252,5.3,10,53.6,RB,Colorado State
744,Jaime Kimbrough,2250,1995,1998,45,432,2250,5.2,17,50,RB,Fresno State
745,Kyle McIntosh,2250,1995,1998,43,439,2250,5.1,15,52.3,RB,Syracuse
746,Mike Boone,2250,2014,2017,39,420,2250,5.4,24,57.7,RB,Cincinnati
747,Darrell Bush,2249,1997,2000,40,503,2249,4.5,11,56.2,RB,Baylor
748,Shannon Woods,2249,2005,2008,47,401,2249,5.6,33,47.9,RB,Texas Tech
749,L.T. Levine,2248,1992,1995,35,422,2248,5.3,21,64.2,RB,Kansas
750,Marc Renaud,2247,1994,1997,30,429,2247,5.2,13,74.9,RB,Michigan State
751,John Leach,2246,1990,1993,42,474,2246,4.7,17,53.5,RB,Wake Forest
752,E.J. Watson,2245,1993,1995,24,469,2245,4.8,22,93.5,RB,Colorado State
753,Jon Cornish,2245,2002,2006,48,387,2245,5.8,17,46.8,RB,Kansas
754,Justin Crawford,2245,2016,2017,25,353,2245,6.4,11,89.8,RB,West Virginia
755,Princeton McCarty,2245,2008,2011,47,430,2245,5.2,12,47.8,RB,Idaho
756,Mickey Collins,2242,1977,1980,40,429,2242,5.2,19,56.1,RB,Wichita State
757,Vintavious Cooper,2242,2012,2013,26,430,2242,5.2,20,86.2,RB,East Carolina
758,Walt Snickenberger,2242,1971,1974,27,447,2242,5,24,83,RB,Princeton
