,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
801,Tom Larscheid,2206,1959,1961,31,316,2206,7,29,71.2,RB,Utah State
802,Doug DuBose,2205,1982,1985,33,362,2205,6.1,16,66.8,RB,Nebraska
803,Bill Burnett,2204,1968,1970,31,526,2204,4.2,12,71.1,RB,Arkansas
804,Anthony Williams,2203,1988,1991,44,511,2203,4.3,19,50.1,RB,Wake Forest
805,B.J. Smith,2203,2016,2021,61,454,2203,4.9,23,36.1,RB,Troy
806,Devine Ozigbo,2203,2015,2018,42,420,2203,5.2,21,52.5,RB,Nebraska
807,D'Vonte Price,2203,2017,2021,49,369,2203,6,15,45,RB,Florida International
808,Dontrell Jackson,2201,1999,2002,39,540,2201,4.1,11,56.4,QB,Ohio
809,Dicenzo Miller,2200,1998,2001,41,404,2200,5.4,17,53.7,RB,Mississippi State
810,Cortlen Johnson,2199,1998,2001,41,445,2199,4.9,20,53.6,RB,Colorado
811,Tra Minter,2199,2017,2019,36,483,2199,4.6,12,61.1,RB,South Alabama
812,Cornell Brockington,2198,2003,2005,33,454,2198,4.8,25,66.6,RB,Connecticut
813,Darik Dillard,2198,2013,2016,49,446,2198,4.9,22,44.9,RB,Rice
814,Tony Boles,2198,1987,1989,33,380,2198,5.8,18,66.6,RB,Michigan
815,Gordon Brown,2196,1984,1985,22,328,2196,6.7,10,99.8,RB,Tulsa
816,Jamie O'Rourke,2196,1971,1974,32,498,2196,4.4,20,68.6,RB,Vanderbilt
817,Larry Porter,2194,1990,1993,39,496,2194,4.4,20,56.3,RB,Memphis
818,Jorvorskie Lane,2193,2005,2008,49,489,2193,4.5,49,44.8,RB,Texas A&M
819,Kennedy McKoy,2193,2016,2019,49,442,2193,5,22,44.8,RB,West Virginia
820,Darryl Richardson,2191,1982,1985,42,487,2191,4.5,14,52.2,RB,Northern Illinois
821,Justice Ellison,2191,2020,2024,47,465,2191,4.7,19,46.6,RB,"Indiana,Wake Forest"
822,Derek Armah,2190,2000,2003,45,571,2190,3.8,15,48.7,RB,Wyoming
823,Billy Ray Vickers,2189,1976,1979,39,489,2189,4.5,12,56.1,RB,North Carolina State
824,Darrin Hall,2189,2015,2018,48,381,2189,5.7,21,45.6,RB,Pitt
825,TaQuon Marshall,2189,2015,2018,34,478,2189,4.6,29,64.4,QB,Georgia Tech
826,Kevin Lowe,2188,1981,1984,47,327,2188,6.7,23,46.6,RB,Wyoming
827,Brandin Byrd,2187,2010,2013,48,461,2187,4.7,17,45.6,RB,North Texas
828,Isaac Jackson,2182,1971,1973,33,492,2182,4.4,16,66.1,RB,Kansas State
829,Otis Anderson,2182,2017,2020,46,358,2182,6.1,17,47.4,RB,UCF
830,Warren Muir,2182,1967,1969,30,505,2182,4.3,19,72.7,RB,South Carolina
831,Kain Colter,2180,2010,2013,39,449,2180,4.9,28,55.9,QB,Northwestern
832,Malcolm Thomas,2180,1993,1996,38,417,2180,5.2,21,57.4,RB,Syracuse
833,Mike Alston,2180,1976,1979,44,434,2180,5,9,49.5,RB,Toledo
834,Eddie Lewis,2179,1982,1985,40,379,2179,5.7,18,54.5,RB,Utah
835,James Flanders,2177,2013,2016,37,383,2177,5.7,19,58.8,RB,Tulsa
