,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
1,Damion Fletcher,5302,2006,2009,50,1009,5302,5.3,44,106,RB,Southern Mississippi
2,Avon Cobourne,5039,1999,2002,43,1023,5039,4.9,43,117.2,RB,West Virginia
3,Dontrell Moore,4956,2002,2005,48,1014,4956,4.9,51,103.3,RB,New Mexico
4,Trevor Cobb,4948,1989,1992,44,1091,4948,4.5,38,112.5,RB,Rice
5,Jarvion Franklin,4867,2014,2017,52,942,4867,5.2,52,93.6,RB,Western Michigan
6,Ken Simonton,4802,1998,2001,44,1005,4802,4.8,56,109.1,RB,Oregon State
7,Montel Harris,4789,2008,2012,50,973,4789,4.9,39,95.8,RB,"Boston College,Temple"
8,Mike Rozier,4780,1981,1983,35,668,4780,7.2,49,136.6,RB,Nebraska
9,Denvis Manns,4692,1995,1998,44,889,4692,5.3,23,106.6,RB,New Mexico State
10,Anthony Davis,4676,2001,2004,40,908,4676,5.1,42,116.9,RB,Wisconsin
11,Mohamed Ibrahim,4668,2018,2022,41,867,4668,5.4,53,113.9,RB,Minnesota
12,Robbie Rouse,4647,2009,2012,50,898,4647,5.2,37,92.9,RB,Fresno State
13,Tyrell Fenroy,4646,2005,2008,46,808,4646,5.8,48,101,RB,Louisiana
14,Vai Taua,4588,2007,2010,45,711,4588,6.5,45,102,RB,Nevada
15,Jahwan Edwards,4558,2011,2014,48,884,4558,5.2,51,95,RB,Ball State
16,Larry Rose III,4557,2014,2017,44,772,4557,5.9,37,103.6,RB,New Mexico State
17,Bobby Rainey,4542,2008,2011,44,895,4542,5.1,35,103.2,RB,Western Kentucky
18,Xazavian Valladay,4473,2018,2022,54,841,4473,5.3,35,82.8,RB,"Arizona State,Wyoming"
19,Kalvin McRae,4398,2004,2007,48,903,4398,4.9,45,91.6,RB,Ohio
20,Deland McCullough,4368,1992,1995,44,949,4368,4.6,36,99.3,RB,Miami (OH)
21,Jordan Lynch,4343,2010,2013,50,662,4343,6.6,48,86.9,QB,Northern Illinois
22,Damien Anderson,4336,1998,2001,42,935,4336,4.6,37,103.2,RB,Northwestern
23,David Thompson,4318,1993,1996,44,846,4318,5.1,27,98.1,RB,Oklahoma State
24,Noel Devine,4315,2007,2010,51,728,4315,5.9,29,84.6,RB,West Virginia
25,Mike Mayweather,4299,1987,1990,44,853,4299,5,37,97.7,RB,Army
26,Robert Sanford,4264,1997,2000,45,838,4264,5.1,41,94.8,RB,Western Michigan
27,Chris Lemon,4246,1996,1999,44,904,4246,4.7,52,96.5,RB,Nevada
28,Reggie Taylor,4242,1983,1986,44,876,4242,4.8,24,96.4,RB,Cincinnati
29,Lance Dunbar,4224,2008,2011,41,782,4224,5.4,41,103,RB,North Texas
30,Marquez Cooper,4219,2020,2024,45,871,4219,4.8,35,93.8,RB,"Ball State,Kent State,San Diego State"
31,Shock Linwood,4213,2013,2016,48,713,4213,5.9,36,87.8,RB,Baylor
