,,,,,,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
1,Baker Mayfield,131,CLE,1,1,2018,Oklahoma,2013,2017,48,1026,1497,471,68.5,14607,131,30,8.8,2,175.4,9.8,10.61,14.2,304.3,QB,"Oklahoma,Texas Tech"
2,Colt Brennan,131,WAS,6,186,2008,Hawaii,2005,2007,38,1115,1584,469,70.4,14193,131,42,8.3,2.7,167.6,9,9.42,12.7,373.5,QB,Hawaii
3,Landry Jones,123,PIT,4,115,2013,Oklahoma,2009,2012,53,1388,2183,795,63.6,16646,123,52,5.6,2.4,141.5,7.6,7.68,12,314.1,QB,Oklahoma
4,Aaron Murray,121,KAN,5,163,2014,Georgia,2010,2013,52,921,1478,557,62.3,13166,121,41,8.2,2.8,158.6,8.9,9.3,14.3,253.2,QB,Georgia
5,Ty Detmer,121,GNB,9,230,1992,BYU,1988,1991,48,958,1530,572,62.6,15031,121,65,7.9,4.2,162.7,9.8,9.49,15.7,313.1,QB,BYU
6,Luke Falk,119,OTI,6,199,2018,Washington State,2014,2017,42,1404,2055,651,68.3,14486,119,39,5.8,1.9,142.8,7,7.35,10.3,344.9,QB,Washington State
7,Matt Barkley,116,PHI,4,98,2013,USC,2009,2012,47,1001,1562,561,64.1,12327,116,48,7.4,3.1,148.7,7.9,7.99,12.3,262.3,QB,USC
8,Tim Rattay,115,SFO,7,212,2000,Louisiana Tech,1997,1999,33,1015,1552,537,65.4,12746,115,35,7.4,2.3,154.3,8.2,8.68,12.6,386.2,QB,Louisiana Tech
9,Danny Wuerffel,114,NOR,4,99,1997,Florida,1993,1996,46,708,1170,462,60.5,10875,114,42,9.7,3.6,163.6,9.3,9.63,15.4,236.4,QB,Florida
10,Bo Nix,113,DEN,1,12,2024,Oregon,2019,2023,61,1286,1936,650,66.4,15351,113,26,5.8,1.3,149.6,7.9,8.49,11.9,251.7,QB,"Auburn,Oregon"
11,Derek Carr,113,RAI,2,36,2014,Fresno State,2009,2013,44,1087,1630,543,66.7,12843,113,24,6.9,1.5,152.8,7.9,8.6,11.8,291.9,QB,Fresno State
12,Colt McCoy,112,CLE,3,85,2010,Texas,2006,2009,53,1157,1645,488,70.3,13253,112,45,6.8,2.7,155,8.1,8.19,11.5,250.1,QB,Texas
