,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
1,Mike Garrett,6442,KAN,20,178,1966,USC,1963,1965,60,1224,6442,5.3,50,107.4,RB,USC
2,Donnel Pumphrey,6405,PHI,4,132,2017,San Diego State,2013,2016,54,1059,6405,6,62,118.6,RB,San Diego State
3,Ron Dayne,6397,NYG,1,11,2000,Wisconsin,1996,1999,43,1115,6397,5.7,63,148.8,RB,Wisconsin
4,Ricky Williams,6279,NOR,1,5,1999,Texas,1995,1998,46,1011,6279,6.2,72,136.5,RB,Texas
5,Jonathan Taylor,6174,CLT,2,41,2020,Wisconsin,2017,2019,41,926,6174,6.7,50,150.6,RB,Wisconsin
6,Tony Dorsett,6082,DAL,1,2,1977,Pitt,1973,1976,44,1074,6082,5.7,55,138.2,RB,Pitt
7,DeAngelo Williams,6026,CAR,1,27,2006,Memphis,2002,2005,44,969,6026,6.2,55,137,RB,Memphis
8,Royce Freeman,5621,DEN,3,71,2018,Oregon,2014,2017,51,947,5621,5.9,60,110.2,RB,Oregon
9,Charles White,5598,CLE,1,27,1980,USC,1976,1979,45,1023,5598,5.5,46,124.4,RB,USC
10,Travis Prentice,5596,CLE,3,63,2000,Miami (OH),1996,1999,44,1138,5596,4.9,73,127.2,RB,Miami (OH)
11,Cedric Benson,5540,CHI,1,4,2005,Texas,2001,2004,49,1112,5540,5,64,113.1,RB,Texas
12,Jim Grabowski,5506,MIA,1,1,1966,Illinois,1963,1965,56,1112,5506,5,46,98.3,RB,Illinois
13,Justin Jackson,5440,SDG,7,251,2018,Northwestern,2014,2017,51,1142,5440,4.8,41,106.7,RB,Northwestern
14,Gale Sayers,5350,KAN,1,5,1965,Kansas,1962,1964,60,824,5350,6.5,36,89.2,RB,Kansas
15,Myles Gaskin,5323,MIA,7,234,2019,Washington,2015,2018,52,945,5323,5.6,57,102.4,RB,Washington
16,LaDainian Tomlinson,5263,SDG,1,5,2001,Texas Christian,1997,2000,44,907,5263,5.8,54,119.6,RB,Texas Christian
17,Herschel Walker,5259,DAL,5,114,1985,Georgia,1980,1982,33,994,5259,5.3,49,159.4,RB,Georgia
18,Archie Griffin,5177,CIN,1,24,1976,Ohio State,1972,1975,42,845,5177,6.1,25,123.3,RB,Ohio State
19,Garrett Wolfe,5164,CHI,3,93,2007,Northern Illinois,2004,2006,33,807,5164,6.4,52,156.5,RB,Northern Illinois
20,Montee Ball,5140,DEN,2,58,2013,Wisconsin,2009,2012,49,924,5140,5.6,77,104.9,RB,Wisconsin
21,LaMichael James,5082,SFO,2,61,2012,Oregon,2009,2011,37,771,5082,6.6,53,137.4,RB,Oregon
22,Michael Hart,5040,CLT,6,202,2008,Michigan,2004,2007,43,1015,5040,5,41,117.2,RB,Michigan
23,Darren Lewis,5012,CHI,6,161,1991,Texas A&M,1987,1990,46,909,5012,5.5,44,109,RB,Texas A&M
24,Darren Sproles,4979,SDG,4,130,2005,Kansas State,2001,2004,45,815,4979,6.1,45,110.6,RB,Kansas State
25,Anthony Thompson,4965,CRD,2,31,1990,Indiana,1986,1989,44,1089,4965,4.6,64,112.8,RB,Indiana
26,George Rogers,4958,NOR,1,1,1981,South Carolina,1977,1980,45,902,4958,5.5,31,110.2,RB,South Carolina
27,Travis Etienne,4952,JAX,1,25,2021,Clemson,2017,2020,55,686,4952,7.2,70,90,RB,Clemson
28,Kareem Hunt,4945,KAN,3,86,2017,Toledo,2013,2016,44,782,4945,6.3,44,112.4,RB,Toledo
29,Michael Turner,4941,SDG,5,154,2004,Northern Illinois,2000,2003,45,940,4941,5.3,43,109.8,RB,Northern Illinois
30,Ray Rice,4926,RAV,2,55,2008,Rutgers,2005,2007,38,910,4926,5.4,49,129.6,RB,Rutgers
31,Melvin Gordon,4915,SDG,1,15,2015,Wisconsin,2011,2014,45,631,4915,7.8,45,109.2,RB,Wisconsin
32,Paul Palmer,4895,KAN,1,19,1987,Temple,1983,1986,44,944,4895,5.2,39,111.3,RB,Temple
33,Steve Bartalo,4813,TAM,6,143,1987,Colorado State,1983,1986,43,1211,4813,4,46,111.9,RB,Colorado State
34,Nick Chubb,4769,CLE,2,35,2018,Georgia,2014,2017,47,758,4769,6.3,44,101.5,RB,Georgia
35,Ed Marinaro,4715,MIN,2,50,1972,Cornell,1969,1971,27,918,4715,5.1,50,174.6,RB,Cornell
36,Marcus Allen,4682,RAI,1,10,1982,USC,1978,1981,45,893,4682,5.2,45,104,RB,USC
37,Kevin Smith,4679,DET,3,64,2008,UCF,2005,2007,36,905,4679,5.2,45,130,RB,UCF
38,Chester Taylor,4646,RAV,6,207,2002,Toledo,1998,2001,43,803,4646,5.8,55,108,RB,Toledo
39,Ted Brown,4602,MIN,1,16,1979,North Carolina State,1975,1978,43,860,4602,5.4,49,107,RB,North Carolina State
40,Thurman Thomas,4595,BUF,2,40,1988,Oklahoma State,1984,1987,44,898,4595,5.1,42,104.4,RB,Oklahoma State
41,Darren McFadden,4590,RAI,1,4,2008,Arkansas,2005,2007,38,785,4590,5.8,41,120.8,RB,Arkansas
42,Marshall Faulk,4589,CLT,1,2,1994,San Diego State,1991,1993,35,766,4589,6,57,131.1,RB,San Diego State
43,Ameer Abdullah,4588,DET,2,54,2015,Nebraska,2011,2014,53,813,4588,5.6,39,86.6,RB,Nebraska
44,Terry Miller,4582,BUF,1,5,1978,Oklahoma State,1974,1977,44,847,4582,5.4,46,104.1,RB,Oklahoma State
45,Keenan Reynolds,4559,RAV,6,182,2016,Navy,2012,2015,50,977,4559,4.7,88,91.2,QB,Navy
46,Kevin Faulk,4557,NWE,2,46,1999,LSU,1995,1998,41,856,4557,5.3,46,111.1,RB,LSU
47,Ito Smith,4536,ATL,4,126,2018,Southern Mississippi,2014,2017,52,820,4536,5.5,42,87.2,RB,Southern Mississippi
48,Darrell Thompson,4518,GNB,1,19,1990,Minnesota,1986,1989,44,911,4518,5,40,102.7,RB,Minnesota
49,Lorenzo White,4513,OTI,1,22,1988,Michigan State,1984,1987,43,991,4513,4.6,41,105,RB,Michigan State
50,Denard Robinson,4495,JAX,5,135,2013,Michigan,2009,2012,49,723,4495,6.2,42,91.7,QB,Michigan
51,Kenneth Dixon,4480,RAV,4,134,2016,Louisiana Tech,2012,2015,47,801,4480,5.6,72,95.3,RB,Louisiana Tech
52,Pat White,4480,MIA,2,44,2009,West Virginia,2005,2008,49,684,4480,6.5,47,91.4,QB,West Virginia
