,Round
13923,0
2020,6
3322,0
12933,0
14626,0
1864,0
7389,6
11940,0
14305,0
2073,0
14061,3
1607,2
6511,5
6280,0
7730,0
2610,0
2355,0
8592,0
15132,0
14806,0
13473,0
11951,0
6230,0
13584,6
13892,0
9064,5
14585,1
11796,0
12789,0
3009,1
12276,7
12007,0
15049,0
9224,3
6368,5
6926,6
7160,0
7758,0
14805,0
13216,0
6290,6
6396,0
14301,0
2891,0
13059,0
1785,0
2377,0
13008,0
98,0
3135,0
2048,0
13334,0
1852,0
15100,0
9545,0
7871,0
7099,0
8100,0
1883,0
13001,0
9398,0
7889,0
2435,7
12861,0
7306,0
12793,0
3304,0
1703,0
7942,0
14563,0
11637,0
14090,0
8355,0
11792,0
2088,0
13148,7
14302,5
11474,2
14197,0
8469,2
9405,0
13071,0
7506,0
7923,0
12697,0
13992,0
11910,0
11850,0
6875,0
13713,0
13299,0
12400,1
1986,0
9325,0
15090,6
7400,0
15023,0
8631,0
12590,0
23,7
11480,0
6284,3
13140,0
13596,0
15228,2
8019,0
6915,0
7423,0
2303,0
14529,0
14918,0
7802,0
8096,0
12547,0
1770,0
13028,0
12786,0
2352,0
3247,0
14153,0
7212,0
6204,0
2444,0
9200,7
6385,0
11853,6
14829,0
1651,0
6795,4
14909,0
13165,0
13855,0
12304,0
7424,0
14764,6
11957,0
6668,4
7019,0
1812,0
9331,0
12011,0
2465,0
2158,0
14887,0
123,0
13426,0
7945,0
12954,0
2626,0
7944,0
2539,0
8535,0
8266,1
1567,0
8321,0
9053,0
9329,5
7703,0
3057,0
6825,0
7140,0
13264,0
7579,0
15233,0
11398,0
7033,0
1850,0
2945,0
1763,0
7269,0
6884,4
13409,0
11623,0
11842,0
11529,7
8045,6
2115,0
8037,0
11802,0
2328,0
12225,0
6351,0
8370,0
12466,0
12809,0
2409,5
6777,3
1806,0
13562,0
9092,2
11730,0
12531,0
13755,0
14238,6
11444,0
15061,0
13988,0
2793,0
1988,0
9368,5
7139,7
7465,0
13312,0
7378,0
8200,0
15127,0
7165,0
13507,0
14265,0
7003,0
14159,1
7880,0
2549,0
6595,0
2889,0
8611,0
11580,0
14985,0
11859,0
11755,0
6955,0
2258,0
9101,0
8512,0
6973,0
13222,0
12802,0
12163,0
2667,0
11633,0
11838,0
8091,0
12219,0
47,0
9407,0
15096,1
11364,0
12285,4
6546,0
2585,0
11670,4
12857,0
2770,0
11515,0
12054,0
6249,0
11886,0
12836,0
8029,0
13612,6
14106,0
1582,0
13523,0
11932,0
7399,5
32,0
14168,3
13493,0
12157,5
9016,7
2766,6
3109,0
1992,0
15218,0
2038,6
9025,0
14252,0
7959,0
14389,0
13912,0
