,Pass_TD,From,To,G,Cmp,Pass_Att,Inc,Cmp%,Pass_Yds,Int,TD%,Int%,Rate,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pos,Team,Rush_Yds,Rush_Att,Rush_Y/A,Rush_TD,Rush_Y/G,Rec_Yds,Rec,Y/R,Rec_TD,Rec_Y/G
13923,0.0,2013,2016,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Hawaii'],0.0,0.0,0.0,0.0,0.0,2570.0,176.0,14.6,13.0,54.7
2020,95.0,1999,2002,43,1231.0,1883.0,652.0,65.4,12429.0,40.0,5.0,2.1,133.2,6.6,6.65,10.1,289.0,QB,['Texas Tech'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3322,0.0,2021,2024,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,['Duke'],0.0,0.0,0.0,0.0,0.0,1831.0,146.0,12.5,16.0,45.8
12933,0.0,2005,2008,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Indiana'],1621.0,337.0,4.8,9.0,34.5,1028.0,84.0,12.2,9.0,21.9
14626,0.0,2018,2021,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['San Diego State'],0.0,0.0,0.0,0.0,0.0,786.0,62.0,12.7,2.0,18.7
1864,0.0,1996,1998,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,['Army'],1250.0,298.0,4.2,6.0,62.5,0.0,0.0,0.0,0.0,0.0
7389,0.0,2007,2010,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Penn State'],3932.0,686.0,5.7,29.0,78.6,562.0,61.0,9.2,3.0,11.2
11940,0.0,1996,1999,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Oregon'],0.0,0.0,0.0,0.0,0.0,2596.0,150.0,17.3,20.0,60.4
14305,0.0,2016,2019,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Michigan State'],0.0,0.0,0.0,0.0,0.0,1640.0,150.0,10.9,7.0,39.0
2073,0.0,2000,2001,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,['Air Force'],1242.0,245.0,5.1,19.0,73.1,0.0,0.0,0.0,0.0,0.0
14061,0.0,2014,2017,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['UCF'],0.0,0.0,0.0,0.0,0.0,1149.0,81.0,14.2,8.0,28.0
1607,2.0,1991,1993,29,26.0,54.0,28.0,48.1,315.0,5.0,3.7,9.3,90.9,5.8,2.41,12.1,10.9,QB,['Arizona'],1493.0,358.0,4.2,19.0,51.5,413.0,41.0,10.1,4.0,14.2
6511,0.0,1995,1996,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['San Diego State'],2810.0,486.0,5.8,34.0,147.9,0.0,0.0,0.0,0.0,0.0
6280,0.0,1991,1994,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Pitt'],1025.0,213.0,4.8,3.0,39.4,0.0,0.0,0.0,0.0,0.0
7730,0.0,2011,2014,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['LSU'],1330.0,226.0,5.9,12.0,33.3,0.0,0.0,0.0,0.0,0.0
2610,17.0,2009,2010,20,219.0,365.0,146.0,60.0,2647.0,14.0,4.7,3.8,128.6,7.3,6.46,12.1,132.4,QB,['Michigan'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2355,18.0,2005,2006,23,434.0,754.0,320.0,57.6,4475.0,25.0,2.4,3.3,108.7,5.9,4.92,10.3,194.6,QB,['Florida International'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8592,0.0,2021,2024,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Maryland'],1941.0,397.0,4.9,18.0,57.1,0.0,0.0,0.0,0.0,0.0
15132,0.0,2022,2024,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Arizona'],0.0,0.0,0.0,0.0,0.0,2557.0,152.0,16.8,22.0,91.3
14806,0.0,2019,2022,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,"['Arkansas', 'Oklahoma']",0.0,0.0,0.0,0.0,0.0,1440.0,121.0,11.9,10.0,36.0
13473,0.0,2010,2013,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Purdue'],0.0,0.0,0.0,0.0,0.0,822.0,91.0,9.0,11.0,19.1
11951,0.0,1997,2000,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Utah State'],0.0,0.0,0.0,0.0,0.0,2334.0,145.0,16.1,21.0,61.4
6230,0.0,1991,1993,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Boston College'],1101.0,263.0,4.2,12.0,34.4,0.0,0.0,0.0,0.0,0.0
13584,0.0,2011,2012,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Virginia Tech'],0.0,0.0,0.0,0.0,0.0,834.0,45.0,18.5,6.0,41.7
13892,0.0,2013,2017,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Rutgers'],0.0,0.0,0.0,0.0,0.0,1062.0,99.0,10.7,2.0,22.1
9064,0.0,1993,1996,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,['Alabama'],0.0,0.0,0.0,0.0,0.0,321.0,24.0,13.4,1.0,6.8
14585,0.0,2018,2019,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Arizona State'],0.0,0.0,0.0,0.0,0.0,1666.0,98.0,17.0,11.0,66.6
11796,0.0,1995,1998,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Boston College'],0.0,0.0,0.0,0.0,0.0,1400.0,115.0,12.2,9.0,32.6
12789,0.0,2004,2007,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Colorado State'],0.0,0.0,0.0,0.0,0.0,2223.0,172.0,12.9,6.0,48.3
3009,78.0,2016,2019,39,650.0,945.0,295.0,68.8,8852.0,11.0,8.3,1.2,172.4,9.4,10.49,13.6,227.0,QB,"['LSU', 'Ohio State']",820.0,258.0,3.2,13.0,21.0,0.0,0.0,0.0,0.0,0.0
12276,0.0,1999,2002,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Illinois'],0.0,0.0,0.0,0.0,0.0,2173.0,140.0,15.5,13.0,48.3
12007,0.0,1997,1999,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Wyoming'],0.0,0.0,0.0,0.0,0.0,1436.0,93.0,15.4,8.0,41.0
15049,0.0,2021,2024,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Oklahoma'],0.0,0.0,0.0,0.0,0.0,1276.0,87.0,14.7,7.0,36.5
9224,0.0,2003,2005,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,['Georgia'],0.0,0.0,0.0,0.0,0.0,1044.0,65.0,16.1,10.0,29.0
6368,0.0,1993,1994,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Miami (FL)'],1328.0,252.0,5.3,17.0,66.4,0.0,0.0,0.0,0.0,0.0
6926,0.0,2001,2004,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Tennessee'],2634.0,501.0,5.3,17.0,53.8,369.0,39.0,9.5,1.0,7.5
7160,0.0,2004,2006,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Georgia'],1510.0,320.0,4.7,8.0,43.1,0.0,0.0,0.0,0.0,0.0
7758,0.0,2012,2014,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['UTSA'],1603.0,356.0,4.5,15.0,47.1,0.0,0.0,0.0,0.0,0.0
14805,0.0,2019,2024,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Toledo'],1730.0,327.0,5.3,13.0,33.9,0.0,0.0,0.0,0.0,0.0
13216,0.0,2008,2009,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Oregon State'],0.0,0.0,0.0,0.0,0.0,846.0,58.0,14.6,6.0,35.3
6290,0.0,1992,1996,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,"['Colorado State', 'Iowa State']",2106.0,386.0,5.5,24.0,56.9,848.0,49.0,17.3,8.0,22.9
6396,0.0,1993,1994,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Utah State'],1194.0,302.0,4.0,11.0,54.3,0.0,0.0,0.0,0.0,0.0
14301,0.0,2016,2021,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Toledo'],0.0,0.0,0.0,0.0,0.0,1527.0,103.0,14.8,8.0,26.3
2891,46.0,2014,2017,27,534.0,925.0,391.0,57.7,5817.0,21.0,5.0,2.3,122.4,6.3,6.26,10.9,215.4,QB,"['East Carolina', 'Virginia']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
