,Pass_TD,From,To,G,Cmp,Pass_Att,Inc,Cmp%,Pass_Yds,Int,TD%,Int%,Rate,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pos,Team,Rush_Yds,Rush_Att,Rush_Y/A,Rush_TD,Rush_Y/G,Rec_Yds,Rec,Y/R,Rec_TD,Rec_Y/G
14798,0.0,2019,2024,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,"['Michigan', 'Washington']",0.0,0.0,0.0,0.0,0.0,1172.0,101.0,11.6,4.0,21.7
9104,0.0,1996,1998,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,['Oregon'],0.0,0.0,0.0,0.0,0.0,612.0,39.0,15.7,5.0,18.5
7964,0.0,2014,2017,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Rutgers'],1351.0,257.0,5.3,7.0,30.7,0.0,0.0,0.0,0.0,0.0
2428,11.0,2006,2008,19,92.0,183.0,91.0,50.3,1356.0,7.0,6.0,3.8,124.7,7.4,6.89,14.7,71.4,QB,['Nevada'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11845,0.0,1995,1998,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Michigan'],0.0,0.0,0.0,0.0,0.0,2016.0,131.0,15.4,17.0,49.2
85,0.0,2014,2017,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FB,['Oklahoma'],0.0,0.0,0.0,0.0,0.0,886.0,54.0,16.4,13.0,16.7
12717,0.0,2003,2006,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['South Florida'],0.0,0.0,0.0,0.0,0.0,864.0,62.0,13.9,5.0,18.8
12891,0.0,2005,2008,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Duke'],0.0,0.0,0.0,0.0,0.0,2413.0,144.0,16.8,22.0,53.6
12354,0.0,2000,2002,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Nevada'],0.0,0.0,0.0,0.0,0.0,3287.0,248.0,13.3,22.0,99.6
8373,0.0,2018,2022,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Texas Tech'],2664.0,540.0,4.9,40.0,53.3,0.0,0.0,0.0,0.0,0.0
2928,72.0,2015,2017,34,727.0,1197.0,470.0,60.7,8332.0,31.0,6.0,2.6,133.9,7.0,7.0,11.5,245.1,QB,['Marshall'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13027,0.0,2006,2009,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Boston College'],0.0,0.0,0.0,0.0,0.0,791.0,63.0,12.6,7.0,18.0
3282,11.0,2020,2024,27,112.0,189.0,77.0,59.3,1341.0,9.0,5.8,4.8,128.5,7.1,6.12,12.0,49.7,QB,"['Florida State', 'Southern Mississippi']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11662,0.0,1993,1994,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Pacific'],0.0,0.0,0.0,0.0,0.0,950.0,52.0,18.3,12.0,50.0
3271,11.0,2020,2021,13,293.0,499.0,206.0,58.7,3067.0,11.0,2.2,2.2,113.2,6.1,5.6,10.5,235.9,QB,['New Mexico State'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8558,0.0,2021,2024,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,"['Louisiana-Monroe', 'New Mexico']",1155.0,258.0,4.5,11.0,35.0,0.0,0.0,0.0,0.0,0.0
2060,0.0,2000,2003,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,['Ohio'],949.0,231.0,4.1,18.0,31.6,0.0,0.0,0.0,0.0,0.0
14008,0.0,2014,2018,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Ball State'],0.0,0.0,0.0,0.0,0.0,1525.0,161.0,9.5,8.0,31.8
8380,0.0,2018,2022,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,"['Liberty', 'Utah']",967.0,178.0,5.4,7.0,21.5,0.0,0.0,0.0,0.0,0.0
