,Pass_TD,From,To,G,Cmp,Pass_Att,Inc,Cmp%,Pass_Yds,Int,TD%,Int%,Rate,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pos,Team,Rush_Yds,Rush_Att,Rush_Y/A,Rush_TD,Rush_Y/G,Rec_Yds,Rec,Y/R,Rec_TD,Rec_Y/G
2628,33.0,2010,2014,35,437.0,803.0,366.0,54.4,5372.0,23.0,4.1,2.9,118.4,6.7,6.22,12.3,153.5,QB,['Maryland'],1701.0,381.0,4.5,25.0,48.6,0.0,0.0,0.0,0.0,0.0
13792,1.0,2012,2015,35,1.0,1.0,0.0,100.0,31.0,0.0,100.0,0.0,690.4,31.0,51.0,31.0,0.9,WR,['Texas Christian'],0.0,0.0,0.0,0.0,0.0,1432.0,74.0,19.4,9.0,40.9
15143,0.0,2023,2024,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Hawaii'],0.0,0.0,0.0,0.0,0.0,1183.0,115.0,10.3,12.0,69.6
6556,0.0,1996,1997,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Rice'],1317.0,250.0,5.3,22.0,59.9,0.0,0.0,0.0,0.0,0.0
9447,0.0,2014,2017,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,['Marshall'],0.0,0.0,0.0,0.0,0.0,1354.0,143.0,9.5,26.0,26.5
9372,0.0,2011,2013,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,['Marshall'],0.0,0.0,0.0,0.0,0.0,1318.0,99.0,13.3,28.0,34.7
12191,0.0,1999,2002,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Boston College'],0.0,0.0,0.0,0.0,0.0,1454.0,95.0,15.3,16.0,34.6
6424,0.0,1994,1996,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Western Michigan'],1524.0,320.0,4.8,11.0,46.2,0.0,0.0,0.0,0.0,0.0
2699,57.0,2011,2014,45,878.0,1348.0,470.0,65.1,9659.0,29.0,4.2,2.2,135.0,7.2,7.04,11.0,214.6,QB,['Nevada'],3482.0,636.0,5.5,44.0,77.4,0.0,0.0,0.0,0.0,0.0
13467,0.0,2010,2011,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Arkansas State'],0.0,0.0,0.0,0.0,0.0,1894.0,163.0,11.6,12.0,75.8
8608,0.0,2022,2024,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['California'],2345.0,456.0,5.1,22.0,86.9,0.0,0.0,0.0,0.0,0.0
6408,0.0,1993,1995,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Rutgers'],3114.0,588.0,5.3,20.0,94.4,0.0,0.0,0.0,0.0,0.0
14342,0.0,2016,2020,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Louisiana-Monroe'],0.0,0.0,0.0,0.0,0.0,836.0,74.0,11.3,5.0,19.0
14324,0.0,2016,2019,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,"['Old Dominion', 'Virginia Tech']",0.0,0.0,0.0,0.0,0.0,1075.0,88.0,12.2,9.0,25.6
11929,0.0,1996,1996,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Boise State'],0.0,0.0,0.0,0.0,0.0,959.0,61.0,15.7,9.0,79.9
7044,0.0,2002,2004,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Rice'],0.0,0.0,0.0,0.0,0.0,976.0,60.0,16.3,3.0,32.5
14998,0.0,2020,2024,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,"['Houston', 'Miami (FL)', 'West Virginia']",0.0,0.0,0.0,0.0,0.0,1567.0,127.0,12.3,8.0,44.8
6927,0.0,2001,2004,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Nevada'],3782.0,750.0,5.0,35.0,102.2,0.0,0.0,0.0,0.0,0.0
8335,0.0,2018,2021,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,"['Alabama', 'Cincinnati']",1953.0,318.0,6.1,30.0,61.0,282.0,31.0,9.1,1.0,8.8
13331,0.0,2009,2012,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Purdue'],0.0,0.0,0.0,0.0,0.0,1567.0,135.0,11.6,16.0,36.4
2331,43.0,2005,2008,34,664.0,1105.0,441.0,60.1,7319.0,43.0,3.9,3.9,120.8,6.6,5.65,11.0,215.3,QB,['Northwestern'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14994,0.0,2020,2024,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,"['Michigan State', 'Nevada-Las Vegas']",0.0,0.0,0.0,0.0,0.0,2451.0,159.0,15.4,16.0,74.3
14331,0.0,2016,2018,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Stanford'],0.0,0.0,0.0,0.0,0.0,2219.0,135.0,16.4,28.0,61.6
8103,0.0,2015,2018,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['New Mexico'],2672.0,486.0,5.5,20.0,55.7,0.0,0.0,0.0,0.0,0.0
6632,0.0,1997,2000,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Virginia Tech'],1317.0,240.0,5.5,12.0,31.4,0.0,0.0,0.0,0.0,0.0
12372,0.0,2000,2003,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Washington State'],0.0,0.0,0.0,0.0,0.0,983.0,73.0,13.5,4.0,24.0
1846,19.0,1996,1997,11,218.0,387.0,169.0,56.3,2708.0,5.0,4.9,1.3,128.7,7.0,7.4,12.4,246.2,QB,['Idaho'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7309,0.0,2006,2007,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Oklahoma State'],2092.0,349.0,6.0,17.0,95.1,0.0,0.0,0.0,0.0,0.0
13924,0.0,2013,2014,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['West Virginia'],0.0,0.0,0.0,0.0,0.0,1497.0,92.0,16.3,13.0,68.0
9455,0.0,2015,2018,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,['LSU'],0.0,0.0,0.0,0.0,0.0,629.0,52.0,12.1,6.0,12.8
7249,0.0,2005,2008,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Texas A&M'],2193.0,489.0,4.5,49.0,44.8,0.0,0.0,0.0,0.0,0.0
6353,0.0,1993,1995,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Penn State'],512.0,114.0,4.5,16.0,15.5,0.0,0.0,0.0,0.0,0.0
9232,0.0,2004,2007,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,['Pitt'],0.0,0.0,0.0,0.0,0.0,783.0,64.0,12.2,7.0,17.4
9413,0.0,2013,2014,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,['Iowa State'],0.0,0.0,0.0,0.0,0.0,844.0,84.0,10.0,10.0,38.4
12652,0.0,2003,2007,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Texas A&M'],0.0,0.0,0.0,0.0,0.0,898.0,78.0,11.5,5.0,16.9
9489,0.0,2017,2021,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,"['Oklahoma', 'SMU']",0.0,0.0,0.0,0.0,0.0,1102.0,79.0,13.9,13.0,24.5
12010,0.0,1997,2000,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Akron'],0.0,0.0,0.0,0.0,0.0,2577.0,138.0,18.7,21.0,58.6
8452,0.0,2019,2023,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Cincinnati'],1058.0,198.0,5.3,11.0,19.2,0.0,0.0,0.0,0.0,0.0
11654,0.0,1993,1996,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Tulane'],0.0,0.0,0.0,0.0,0.0,1009.0,87.0,11.6,3.0,22.4
6187,0.0,1990,1993,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Florida State'],2128.0,347.0,6.1,13.0,49.5,0.0,0.0,0.0,0.0,0.0
13512,0.0,2010,2013,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['San Jose State'],0.0,0.0,0.0,0.0,0.0,1138.0,100.0,11.4,9.0,24.7
7192,0.0,2004,2007,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Wake Forest'],1561.0,327.0,4.8,12.0,44.6,0.0,0.0,0.0,0.0,0.0
3119,61.0,2018,2023,46,678.0,1078.0,400.0,62.9,8372.0,27.0,5.7,2.5,141.8,7.8,7.77,12.3,182.0,QB,"['South Alabama', 'Toledo']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6873,0.0,2000,2003,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Middle Tennessee State'],1243.0,246.0,5.1,12.0,34.5,0.0,0.0,0.0,0.0,0.0
6515,0.0,1995,1998,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Colorado State'],1175.0,225.0,5.2,11.0,40.5,0.0,0.0,0.0,0.0,0.0
6221,0.0,1991,1994,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Akron'],1198.0,280.0,4.3,6.0,27.2,0.0,0.0,0.0,0.0,0.0
