,Round
14798,0
9104,7
7964,0
2428,0
11845,6
85,0
12717,0
12891,0
12354,3
8373,0
2928,0
13027,0
3282,0
11662,0
3271,0
8558,0
2060,0
14008,0
8380,0
15001,0
12334,7
8430,6
2053,0
14687,0
2963,0
1790,0
12246,0
12552,0
12803,0
12038,0
2736,0
12589,0
6407,0
15035,0
14306,0
2280,0
13257,1
12758,0
9331,0
11655,5
116,4
3096,0
13711,0
7436,5
6620,0
12766,0
6608,0
7525,1
6630,0
11928,0
6538,0
14836,0
11903,0
12234,3
13035,7
13123,0
11824,0
6418,0
2204,0
13303,3
11466,0
9134,0
12595,0
12399,0
3078,0
8177,7
12678,0
2042,0
6602,0
13636,0
6824,0
2520,4
7648,0
3151,0
13239,0
15090,6
141,0
13614,6
7006,4
1817,0
8089,0
8150,0
3063,5
2006,0
12568,0
3157,0
14140,0
13401,0
8187,0
14195,0
8476,0
97,0
12144,0
3315,0
7665,0
14691,0
15226,0
9444,2
2789,0
13516,0
3362,0
13322,0
13863,4
8029,0
12950,0
11877,0
8309,4
9354,0
13197,0
1978,0
14154,1
11791,5
6419,0
9202,0
12961,0
12895,0
12539,4
6326,3
6894,0
13095,0
14464,0
13280,5
7207,0
14441,0
9214,0
6693,6
6943,0
9153,1
9589,0
8273,0
8266,1
11969,0
11978,0
1726,0
14584,0
12605,0
6394,0
9531,0
8333,2
2212,0
12415,3
8086,5
11918,5
7837,0
14760,0
7358,0
12042,0
9084,3
9166,0
8208,0
12114,0
9136,7
13841,0
7076,0
6330,7
2511,0
14061,3
2192,0
12139,0
14164,0
7316,0
15076,0
14937,0
8108,0
15243,0
12460,7
14648,0
14708,4
7831,0
13937,0
12981,4
9277,0
9318,6
13464,0
15018,0
7066,0
2248,2
8139,0
13632,0
14973,0
12369,4
8640,0
12979,3
2278,6
6776,0
7870,0
6882,0
11645,0
12888,0
3009,1
11778,4
7805,0
11492,5
12601,2
13509,4
14910,0
3137,0
13304,3
6947,0
2235,0
12515,0
14264,0
11458,3
2755,0
13104,0
9210,2
6596,0
3220,1
14568,0
13093,0
8242,6
12897,0
14529,0
2190,0
8417,0
9480,0
14007,0
14479,0
14952,0
13578,0
2603,0
1763,0
14083,0
13171,0
7172,0
1840,0
12347,0
13084,0
15172,0
7049,0
12512,7
3212,0
6854,0
1748,0
6723,0
7988,0
1584,0
9577,0
8429,0
12137,0
7039,0
13920,4
14358,0
12865,7
12463,0
1765,0
13805,1
14291,0
9419,5
6482,0
14349,0
9448,5
7257,0
6741,7
14382,0
14612,7
7502,3
12329,0
14431,0
14271,0
8372,0
7659,0
1781,0
14205,0
14210,0
14029,0
13515,0
6332,0
13470,0
2102,0
12320,0
1805,1
8310,6
14823,2
11537,0
6519,2
13756,2
1761,0
8499,0
2279,0
83,0
2002,3
1651,0
11909,0
2222,0
6510,4
13191,1
1853,0
12764,0
14495,0
14968,0
14109,0
2076,0
11885,4
8137,3
11967,0
7790,0
11735,0
12378,0
2294,5
14969,0
13323,2
3163,0
2319,0
13091,0
12621,1
2872,0
12069,0
2381,0
13267,0
12847,0
2549,0
3019,7
6298,6
12176,0
3333,0
9253,2
1589,0
11732,0
13344,0
7856,0
6513,0
6844,0
12202,0
6645,0
6736,0
9064,5
11836,0
12531,0
2154,0
2369,0
7216,0
13982,0
1961,0
12476,0
3223,0
14126,0
14330,0
12423,0
7552,0
8370,0
14737,0
6660,1
13249,4
9036,1
2127,0
11549,0
2892,0
11539,0
9398,0
12459,1
12430,0
1659,0
14054,0
14932,3
13681,0
2427,0
6847,0
12195,0
13961,0
13346,0
9094,7
11514,0
11578,0
8247,0
11571,0
13588,0
12319,0
12296,0
3218,0
6641,6
13086,0
14900,0
7921,0
12774,3
13347,0
13492,0
6205,0
6737,0
13620,0
6948,0
3110,0
14407,0
12973,0
7797,0
2530,2
87,0
2949,0
6663,0
1833,0
14675,0
2152,0
13932,0
15116,0
3012,0
3215,0
8503,5
12794,7
11922,0
3149,0
14086,0
13852,1
12298,0
2635,0
2713,0
1938,0
1744,0
1827,0
11555,0
14280,0
2410,1
11666,0
13332,0
7259,0
14005,0
12107,6
2249,0
12521,0
11573,0
8579,0
7707,7
14949,0
8248,0
14450,0
14276,0
12947,0
11446,0
3041,0
11953,0
13045,0
14120,7
2475,0
1644,0
6857,0
13543,0
31,0
12573,0
14867,0
1928,0
6868,0
13114,1
11789,0
8043,2
9367,0
6587,0
12980,0
11997,0
7966,0
9349,2
7127,0
1739,0
12121,0
3172,0
14551,0
14267,0
12376,7
7852,0
7657,0
2777,0
7943,7
13908,0
3280,0
14348,0
3118,0
12784,4
7104,0
1959,0
3013,1
1641,0
3324,0
7492,0
12008,0
13316,0
6735,0
14491,0
1797,0
9013,4
13787,1
13321,0
7933,0
12630,0
13205,0
7463,2
11826,0
12600,0
3091,0
7178,0
7947,0
14629,0
12440,0
13043,4
13804,2
14320,0
9260,0
9522,0
13991,6
11450,0
2498,7
9342,5
9024,0
6973,0
11746,0
7721,5
9385,7
13469,0
2031,0
13649,0
8389,0
6671,1
3206,0
2981,7
2338,6
6878,0
13956,0
6983,0
14706,0
12030,0
8194,6
3199,0
6405,4
9140,0
7305,0
1688,0
11488,0
7007,0
7774,0
2223,0
12057,2
6410,1
2687,0
2147,0
1588,0
6323,1
13924,7
6273,5
12040,0
8388,6
7798,3
12083,0
6734,4
1842,0
14191,0
6454,5
8490,6
6942,0
13387,0
8602,0
14987,0
12355,0
6425,0
3238,4
3160,3
14331,2
12263,7
2859,0
1811,0
14958,0
2718,0
12889,0
8011,0
7958,5
13059,0
7100,0
7743,0
8198,0
14546,0
2186,0
12340,0
8623,0
2330,0
2232,0
13960,0
15134,0
12768,0
14035,0
2823,0
6757,0
1567,0
70,0
2919,0
15097,0
7439,0
2215,0
8557,0
13534,0
2395,0
2366,0
15081,0
14103,0
6813,0
13748,0
9329,5
8404,5
2761,0
6786,0
6611,0
2489,6
1706,0
8593,0
8518,0
6761,0
7519,5
15244,0
13618,0
6949,0
2600,0
6336,1
12648,0
11982,0
11949,0
8147,0
9561,0
6502,0
12526,0
12428,0
8381,0
3044,0
14327,0
12893,0
2668,0
15192,0
2992,0
6500,4
6351,0
8466,0
2113,0
7698,0
12054,0
13766,0
121,0
6562,5
2791,0
55,0
14682,0
8366,0
1602,0
13535,0
8574,0
8535,0
3132,0
2380,0
8463,0
14815,0
7072,3
7959,0
11988,0
12646,5
12585,0
15077,0
2407,6
11964,7
14059,0
6460,0
36,0
7601,0
3253,0
2255,4
2236,4
2114,0
12053,0
2004,0
9196,0
6938,0
6962,0
11744,1
1816,0
2107,1
14241,0
3006,0
6537,0
8275,0
14016,0
2033,0
12956,0
11794,0
3370,0
7994,3
6534,0
1571,0
2123,0
64,0
12066,0
13938,0
3070,0
14746,0
8523,6
2670,0
2342,0
2335,0
8161,0
9221,2
8114,0
1902,0
13946,0
1874,0
2184,0
13846,0
14959,0
12231,0
2466,0
2377,0
7766,0
2245,0
6789,0
13070,0
14703,0
11669,0
8142,0
14088,0
11381,0
9105,7
2697,0
9404,0
9501,1
13757,0
11887,0
9023,0
12554,0
3347,0
12025,0
12696,0
6456,4
7644,0
7985,0
6833,0
2977,0
1767,3
12262,7
6200,4
118,7
8182,0
11835,0
2674,0
13210,0
12561,0
3304,0
7732,0
13488,0
2122,0
9249,6
2350,0
12770,2
13080,0
13098,0
7954,0
2040,0
11417,0
11725,6
8634,0
9320,1
2960,0
3139,0
12207,0
7200,0
61,5
7429,0
11940,0
12931,7
9487,2
7753,0
14060,0
9315,0
6666,0
8495,0
11790,0
8600,0
9151,5
7546,0
6271,0
12270,2
12235,4
11327,0
14950,6
7148,2
2130,0
12247,0
12697,0
3092,0
2502,1
7838,0
13295,0
7530,3
7171,0
13742,0
9250,1
7025,0
8334,7
14623,0
6588,3
7705,0
11934,0
13574,6
2297,0
2219,0
12090,0
14492,0
1784,0
7229,0
7814,2
2917,0
3383,0
6416,0
13822,0
2308,0
11265,0
12846,0
7610,0
8477,0
13175,6
7692,4
7255,0
6324,0
12160,0
12426,0
14388,0
3301,0
9258,0
11786,3
12417,4
7537,0
12955,0
11637,0
7803,0
2780,0
3230,3
8012,0
8614,0
6866,0
12567,0
3047,0
6792,0
9287,6
13363,0
6937,0
15166,6
6872,2
15131,0
9252,3
9390,0
2964,0
12614,7
11665,0
8616,0
8552,0
13701,0
12642,7
14433,0
6563,0
12471,0
7962,5
14053,0
8406,0
14347,0
6680,0
6903,4
15106,0
12840,0
13928,5
8568,0
2775,0
11505,0
13119,0
12205,0
13553,0
1903,0
7225,5
145,4
6598,0
2534,0
11454,0
1527,0
92,0
8615,0
11991,0
7767,0
2166,0
13962,3
6996,0
12359,2
2819,1
11983,3
7371,5
9227,0
6553,0
12424,3
9539,7
14847,0
1940,0
9289,0
12193,0
13788,0
8363,0
11751,1
3373,0
6718,6
2198,0
2781,0
9441,0
6873,0
2705,0
3062,0
2727,0
2270,3
7387,0
12969,0
3117,0
8328,0
7232,0
12077,0
13100,0
9335,3
11719,0
6970,0
2504,0
6476,3
1855,0
13944,0
11440,0
2317,0
13542,0
13671,0
13691,0
2810,0
13081,2
2724,0
7576,1
13117,0
9431,3
8405,0
7599,0
15115,0
6566,0
14337,5
7351,7
9311,7
14486,0
2814,0
2194,0
1847,3
8450,0
2101,0
11443,0
12683,0
7863,0
2515,0
8091,0
9438,0
1987,0
1860,0
9488,3
13441,0
6891,5
13147,0
15177,0
7613,4
1604,0
12877,0
2835,0
6763,0
9173,0
15127,0
14758,0
2529,0
8158,1
7884,0
7975,1
1807,0
7691,0
2587,0
12313,0
12188,0
7892,0
1963,1
2857,0
134,6
2345,0
2314,0
12236,0
11852,0
12419,0
2870,0
6475,0
6329,2
6995,0
12687,0
3130,3
12560,0
13032,0
6591,0
7382,0
13146,0
11915,0
12165,7
12458,0
13915,0
14137,4
9107,0
13662,0
13824,5
13135,0
9073,1
9457,0
8353,0
12936,0
6617,7
13385,0
3367,0
14501,1
14344,0
12287,2
7235,0
3179,0
6220,0
12853,0
14778,3
3341,0
13112,0
14603,0
14232,0
15038,0
3371,0
12495,7
7570,0
13206,0
14781,6
3309,1
14227,0
3310,0
7029,0
2921,0
2953,0
11747,0
6788,0
2485,1
2237,0
12191,0
6692,0
6441,0
12885,0
7155,0
12453,0
11752,6
9072,0
6902,1
6977,0
7082,0
7718,0
14597,0
8305,0
2854,0
12161,0
11640,0
2597,0
11670,4
11594,0
86,0
14917,0
2652,0
2397,0
7491,0
9316,0
8269,6
8341,4
13747,0
11478,0
2253,0
8521,0
47,0
6157,0
14862,0
2999,6
9199,0
12456,0
8517,0
11740,0
3299,0
9568,2
9322,2
6411,0
8325,0
11625,0
13952,0
9194,4
1965,0
2922,0
7132,0
2599,0
13498,4
11509,0
12479,0
6619,0
8528,0
14075,0
2250,5
6867,0
3171,0
15101,0
6305,0
2115,0
11366,0
13610,0
14586,0
13163,4
6372,0
11519,4
2336,0
7889,0
13157,0
13629,0
3109,0
6871,0
1734,4
12433,0
14785,0
13031,6
11425,2
8562,4
11737,0
6951,0
1939,0
15021,0
13710,0
12619,0
7407,2
13307,5
7589,4
7111,7
13872,0
11486,1
12096,0
11780,0
7409,0
8001,0
2217,0
