,Round
2628,0
13792,6
15143,0
6556,0
9447,0
9372,0
12191,0
6424,0
2699,0
13467,0
8608,0
6408,0
14342,0
14324,0
11929,0
7044,0
14998,0
6927,0
8335,5
13331,0
2331,0
14994,0
14331,2
8103,0
6632,0
12372,0
1846,0
7309,0
13924,7
9455,4
7249,0
6353,4
9232,0
9413,0
12652,0
9489,6
12010,0
8452,0
11654,0
6187,0
13512,0
7192,0
3119,0
6873,0
6515,0
6221,0
6372,0
13393,0
14665,0
7694,0
6397,0
2288,2
13260,0
14955,0
14819,0
6266,0
12096,0
7538,0
8132,0
11542,0
12037,0
12843,0
1849,0
12994,6
6621,5
124,4
6672,2
8078,5
13152,0
6867,0
3030,1
6522,0
14285,0
13557,0
14742,2
2283,0
12958,0
14387,0
9004,0
6378,0
9271,0
12749,4
11718,0
13400,0
12935,7
3191,0
8359,0
6186,0
9411,0
12238,0
1914,0
11961,7
12548,0
6875,0
1691,0
6947,0
11665,0
13817,0
2593,4
1864,0
3237,0
1635,0
11486,1
12104,0
3035,0
1796,7
2370,0
13189,0
7461,0
1839,0
2501,0
13219,5
1929,0
9475,6
8593,0
14160,0
2477,5
2734,0
14139,7
7935,7
13763,0
8175,0
1937,0
13570,0
2629,0
11595,5
1720,0
8514,0
13646,5
13566,0
9204,5
11583,5
8332,0
2416,5
13712,0
11375,0
7114,5
7671,0
14643,0
14322,0
2945,0
2850,0
13185,2
7296,1
11598,0
13265,4
8063,0
14586,0
13211,0
13638,0
2507,0
11398,0
12373,0
11947,0
7807,0
14807,0
11918,5
13702,0
12896,0
6814,0
12262,7
15070,1
6557,0
11710,0
2717,0
13635,0
14911,0
15206,0
11817,0
11700,2
15077,0
2010,0
15233,0
9478,0
12755,7
14092,0
2504,0
13338,0
15057,0
13769,0
12210,0
11497,0
12519,0
7511,0
2377,0
9386,0
8499,0
14940,3
11561,4
15040,0
34,0
11588,0
1801,0
2730,0
12564,0
2169,0
9208,0
7490,0
3000,0
12064,0
13073,0
14479,0
7395,7
6520,0
9266,4
6379,1
1963,1
6511,5
2334,0
9321,0
14605,0
11623,0
7982,0
13643,0
14660,0
14350,7
13138,0
2883,0
7750,0
6333,0
7761,0
27,1
7157,1
2402,0
12120,0
7864,0
12802,0
15224,5
7457,0
2979,0
13671,0
9402,0
11460,0
7524,0
12439,0
9421,5
14509,0
13200,6
3078,0
12327,0
3317,0
1773,0
1710,0
7877,0
11796,0
